dataset,object,descriptor,category,time
RippledObjectsDataset,0019,QUICCI,0.005,0.112696017
RippledObjectsDataset,0019,RICI,0.005,0.117611481
RippledObjectsDataset,0019,SI,0.005,0.229043099
RippledObjectsDataset,0020,3DSC,0.005,1.742492599
RippledObjectsDataset,0020,FPFH,0.005,7.560874088
RippledObjectsDataset,0020,QUICCI,0.005,0.139154568
RippledObjectsDataset,0020,RICI,0.005,0.129811048
RippledObjectsDataset,0020,SI,0.005,0.426895522
RippledObjectsDataset,0021,3DSC,0.005,0.732063617
RippledObjectsDataset,0021,FPFH,0.005,2.006463059
RippledObjectsDataset,0021,QUICCI,0.005,0.01790728
RippledObjectsDataset,0021,RICI,0.005,0.01818736
RippledObjectsDataset,0021,SI,0.005,0.033195903
RippledObjectsDataset,0022,3DSC,0.005,1.559959019
RippledObjectsDataset,0022,FPFH,0.005,1.888423159
RippledObjectsDataset,0022,QUICCI,0.005,0.020715708
RippledObjectsDataset,0022,RICI,0.005,0.00925682
RippledObjectsDataset,0022,SI,0.005,0.140051857
RippledObjectsDataset,0023,3DSC,0.005,1.343760766
RippledObjectsDataset,0023,FPFH,0.005,4.554906465
RippledObjectsDataset,0023,QUICCI,0.005,0.0918724
RippledObjectsDataset,0023,RICI,0.005,0.088744252
RippledObjectsDataset,0023,SI,0.005,0.538951419
RippledObjectsDataset,0024,3DSC,0.005,1.98754389
RippledObjectsDataset,0024,FPFH,0.005,4.865662784
RippledObjectsDataset,0024,QUICCI,0.005,0.090458171
RippledObjectsDataset,0024,RICI,0.005,0.088006004
RippledObjectsDataset,0024,SI,0.005,0.393059619
RippledObjectsDataset,0025,3DSC,0.005,1.802505523
RippledObjectsDataset,0025,FPFH,0.005,2.857796136
RippledObjectsDataset,0025,QUICCI,0.005,0.047966058
RippledObjectsDataset,0025,RICI,0.005,0.047713438
RippledObjectsDataset,0025,SI,0.005,0.185847306
RippledObjectsDataset,0026,3DSC,0.005,0.853284334
RippledObjectsDataset,0026,FPFH,0.005,3.035422081
RippledObjectsDataset,0026,QUICCI,0.005,0.00031057
RippledObjectsDataset,0026,RICI,0.005,0.00031751
RippledObjectsDataset,0026,SI,0.005,0.009801679
RippledObjectsDataset,0027,3DSC,0.005,0.700743362
RippledObjectsDataset,0027,FPFH,0.005,2.007576208
RippledObjectsDataset,0027,QUICCI,0.005,0.01840977
RippledObjectsDataset,0027,RICI,0.005,0.00939539
RippledObjectsDataset,0027,SI,0.005,0.025180832
RippledObjectsDataset,0028,3DSC,0.005,0.959959037
RippledObjectsDataset,0028,FPFH,0.005,2.949190645
RippledObjectsDataset,0028,QUICCI,0.005,0.010154468
RippledObjectsDataset,0028,RICI,0.005,0.009990229
RippledObjectsDataset,0028,SI,0.005,0.051598223
RippledObjectsDataset,0029,3DSC,0.005,1.71458612
RippledObjectsDataset,0029,FPFH,0.005,2.173827176
RippledObjectsDataset,0029,QUICCI,0.005,0.028287379
RippledObjectsDataset,0029,RICI,0.005,0.012806516
RippledObjectsDataset,0029,SI,0.005,0.181069001
RippledObjectsDataset,0030,3DSC,0.005,1.07540438
RippledObjectsDataset,0030,FPFH,0.005,1.956779394
RippledObjectsDataset,0030,QUICCI,0.005,0.00978905
RippledObjectsDataset,0030,RICI,0.005,0.009658319
RippledObjectsDataset,0030,SI,0.005,0.048199157
RippledObjectsDataset,0031,3DSC,0.005,1.500428225
RippledObjectsDataset,0031,FPFH,0.005,1.489462956
RippledObjectsDataset,0031,QUICCI,0.005,0.010559658
RippledObjectsDataset,0031,RICI,0.005,0.013676495
RippledObjectsDataset,0031,SI,0.005,0.077689345
RippledObjectsDataset,0032,3DSC,0.005,0.923017738
RippledObjectsDataset,0032,FPFH,0.005,3.988082646
RippledObjectsDataset,0032,QUICCI,0.005,0.028517128
RippledObjectsDataset,0032,RICI,0.005,0.026884031
RippledObjectsDataset,0032,SI,0.005,0.259681195
RippledObjectsDataset,0033,3DSC,0.005,1.390211205
RippledObjectsDataset,0033,FPFH,0.005,1.884249413
RippledObjectsDataset,0033,QUICCI,0.005,0.013701985
RippledObjectsDataset,0033,RICI,0.005,0.013379205
RippledObjectsDataset,0033,SI,0.005,0.133054004
RippledObjectsDataset,0034,3DSC,0.005,0.404597507
RippledObjectsDataset,0034,FPFH,0.005,3.739296429
RippledObjectsDataset,0034,QUICCI,0.005,0.004918845
RippledObjectsDataset,0034,RICI,0.005,0.004762725
RippledObjectsDataset,0034,SI,0.005,0.064739069
RippledObjectsDataset,0035,3DSC,0.005,1.683289243
RippledObjectsDataset,0035,FPFH,0.005,2.039249394
RippledObjectsDataset,0035,QUICCI,0.005,0.00974671
RippledObjectsDataset,0035,RICI,0.005,0.0187641
RippledObjectsDataset,0035,SI,0.005,0.053060641
RippledObjectsDataset,0036,3DSC,0.005,0.956554641
RippledObjectsDataset,0036,FPFH,0.005,3.299834731
RippledObjectsDataset,0036,QUICCI,0.005,0.016835831
RippledObjectsDataset,0036,RICI,0.005,0.016578312
RippledObjectsDataset,0036,SI,0.005,0.106165873
RippledObjectsDataset,0037,3DSC,0.005,0.298688682
RippledObjectsDataset,0037,FPFH,0.005,1.02093987
RippledObjectsDataset,0037,QUICCI,0.005,0.000852579
RippledObjectsDataset,0037,RICI,0.005,0.000813659
RippledObjectsDataset,0037,SI,0.005,0.022956595
RippledObjectsDataset,0038,3DSC,0.005,0.292935408
RippledObjectsDataset,0038,FPFH,0.005,2.065506005
RippledObjectsDataset,0038,QUICCI,0.005,0.003056957
RippledObjectsDataset,0038,RICI,0.005,0.002841057
RippledObjectsDataset,0038,SI,0.005,0.042551973
RippledObjectsDataset,0039,3DSC,0.005,0.780235124
RippledObjectsDataset,0039,FPFH,0.005,4.383279543
RippledObjectsDataset,0039,QUICCI,0.005,0.02735307
RippledObjectsDataset,0039,RICI,0.005,0.026795671
RippledObjectsDataset,0039,SI,0.005,0.15493911
RippledObjectsDataset,0040,3DSC,0.005,1.56897636
RippledObjectsDataset,0040,FPFH,0.005,2.930075987
RippledObjectsDataset,0040,QUICCI,0.005,0.053045092
RippledObjectsDataset,0040,RICI,0.005,0.020066548
RippledObjectsDataset,0040,SI,0.005,0.30114507
RippledObjectsDataset,0041,3DSC,0.005,0.516822914
RippledObjectsDataset,0041,FPFH,0.005,4.184908381
RippledObjectsDataset,0041,QUICCI,0.005,0.019026399
RippledObjectsDataset,0041,RICI,0.005,0.01840471
RippledObjectsDataset,0041,SI,0.005,0.112438606
RippledObjectsDataset,0042,3DSC,0.005,2.49837332
RippledObjectsDataset,0042,FPFH,0.005,2.550674723
RippledObjectsDataset,0042,QUICCI,0.005,0.060990833
RippledObjectsDataset,0042,RICI,0.005,0.143805232
RippledObjectsDataset,0042,SI,0.005,0.742861325
RippledObjectsDataset,0043,3DSC,0.005,1.773840334
RippledObjectsDataset,0043,FPFH,0.005,5.243748729
RippledObjectsDataset,0043,QUICCI,0.005,0.067344486
RippledObjectsDataset,0043,RICI,0.005,0.06375451
RippledObjectsDataset,0043,SI,0.005,0.257584747
RippledObjectsDataset,0044,3DSC,0.005,2.171385079
RippledObjectsDataset,0044,FPFH,0.005,4.365151753
RippledObjectsDataset,0044,QUICCI,0.005,0.095055926
RippledObjectsDataset,0044,RICI,0.005,0.094170926
RippledObjectsDataset,0044,SI,0.005,0.454921622
RippledObjectsDataset,0045,3DSC,0.005,0.49199184
RippledObjectsDataset,0045,FPFH,0.005,4.966817583
RippledObjectsDataset,0045,QUICCI,0.005,0.056871738
RippledObjectsDataset,0045,RICI,0.005,0.085024917
RippledObjectsDataset,0045,SI,0.005,0.274472199
RippledObjectsDataset,0046,3DSC,0.005,1.661483308
RippledObjectsDataset,0046,FPFH,0.005,3.27380007
RippledObjectsDataset,0046,QUICCI,0.005,0.015878653
RippledObjectsDataset,0046,RICI,0.005,0.015324613
RippledObjectsDataset,0046,SI,0.005,0.104157425
RippledObjectsDataset,0047,3DSC,0.005,1.284509931
RippledObjectsDataset,0047,FPFH,0.005,3.818929712
RippledObjectsDataset,0047,QUICCI,0.005,0.040245316
RippledObjectsDataset,0047,RICI,0.005,0.039654346
RippledObjectsDataset,0047,SI,0.005,0.232996294
RippledObjectsDataset,0048,3DSC,0.005,2.229321585
RippledObjectsDataset,0048,FPFH,0.005,1.690910106
RippledObjectsDataset,0048,QUICCI,0.005,0.047925437
RippledObjectsDataset,0048,RICI,0.005,0.044625071
RippledObjectsDataset,0048,SI,0.005,0.262171333
RippledObjectsDataset,0049,3DSC,0.005,1.452978247
RippledObjectsDataset,0049,FPFH,0.005,4.985055923
RippledObjectsDataset,0049,QUICCI,0.005,0.018994489
RippledObjectsDataset,0049,RICI,0.005,0.01837406
RippledObjectsDataset,0049,SI,0.005,0.117359302
RippledObjectsDataset,0050,3DSC,0.005,2.17055551
RippledObjectsDataset,0050,FPFH,0.005,2.929071127
RippledObjectsDataset,0050,QUICCI,0.005,0.013772305
RippledObjectsDataset,0050,RICI,0.005,0.013425446
RippledObjectsDataset,0050,SI,0.005,0.133955213
RippledObjectsDataset,0051,3DSC,0.005,0.313302076
RippledObjectsDataset,0051,FPFH,0.005,3.892955961
RippledObjectsDataset,0051,QUICCI,0.005,0.002274988
RippledObjectsDataset,0051,RICI,0.005,0.002050138
RippledObjectsDataset,0051,SI,0.005,0.045874119
RippledObjectsDataset,0052,3DSC,0.005,0.39180395
RippledObjectsDataset,0052,FPFH,0.005,5.139896253
RippledObjectsDataset,0052,QUICCI,0.005,0.048532017
RippledObjectsDataset,0052,RICI,0.005,0.019573659
RippledObjectsDataset,0052,SI,0.005,0.283244699
RippledObjectsDataset,0053,3DSC,0.005,0.504673977
RippledObjectsDataset,0053,FPFH,0.005,3.404390546
RippledObjectsDataset,0053,QUICCI,0.005,0.079399322
RippledObjectsDataset,0053,RICI,0.005,0.066613297
RippledObjectsDataset,0053,SI,0.005,0.418368681
RippledObjectsDataset,0054,3DSC,0.005,0.356449869
RippledObjectsDataset,0054,FPFH,0.005,1.097516707
RippledObjectsDataset,0054,QUICCI,0.005,0.000527289
RippledObjectsDataset,0054,RICI,0.005,0.000519149
RippledObjectsDataset,0054,SI,0.005,0.014615664
RippledObjectsDataset,0055,3DSC,0.005,0.604480217
RippledObjectsDataset,0055,FPFH,0.005,1.178200358
RippledObjectsDataset,0055,QUICCI,0.005,0.008809711
RippledObjectsDataset,0055,RICI,0.005,0.00871499
RippledObjectsDataset,0055,SI,0.005,0.073882829
RippledObjectsDataset,0056,3DSC,0.005,1.235778415
RippledObjectsDataset,0056,FPFH,0.005,1.028230073
RippledObjectsDataset,0056,QUICCI,0.005,0.010564288
RippledObjectsDataset,0056,RICI,0.005,0.010384679
RippledObjectsDataset,0056,SI,0.005,0.065144579
RippledObjectsDataset,0057,3DSC,0.005,1.391431944
RippledObjectsDataset,0057,FPFH,0.005,2.811335367
RippledObjectsDataset,0057,QUICCI,0.005,0.019279999
RippledObjectsDataset,0057,RICI,0.005,0.019035249
RippledObjectsDataset,0057,SI,0.005,0.088354454
RippledObjectsDataset,0058,3DSC,0.005,1.966877712
RippledObjectsDataset,0058,FPFH,0.005,3.475481628
RippledObjectsDataset,0058,QUICCI,0.005,0.02694904
RippledObjectsDataset,0058,RICI,0.005,0.022102596
RippledObjectsDataset,0058,SI,0.005,0.134912852
RippledObjectsDataset,0059,3DSC,0.005,0.36475434
RippledObjectsDataset,0059,FPFH,0.005,1.134931995
RippledObjectsDataset,0059,QUICCI,0.005,0.00858455
RippledObjectsDataset,0059,RICI,0.005,0.01827711
RippledObjectsDataset,0059,SI,0.005,0.069112364
RippledObjectsDataset,0060,3DSC,0.005,1.261551856
RippledObjectsDataset,0060,FPFH,0.005,1.92362203
RippledObjectsDataset,0060,QUICCI,0.005,0.010970318
RippledObjectsDataset,0060,RICI,0.005,0.010741638
RippledObjectsDataset,0060,SI,0.005,0.075066877
RippledObjectsDataset,0061,3DSC,0.005,1.129502751
RippledObjectsDataset,0061,FPFH,0.005,2.73587295
RippledObjectsDataset,0061,QUICCI,0.005,0.00910395
RippledObjectsDataset,0061,RICI,0.005,0.00886164
RippledObjectsDataset,0061,SI,0.005,0.087629124
RippledObjectsDataset,0062,3DSC,0.005,0.393789918
RippledObjectsDataset,0062,FPFH,0.005,1.077244639
RippledObjectsDataset,0062,QUICCI,0.005,0.001100058
RippledObjectsDataset,0062,RICI,0.005,0.001025159
RippledObjectsDataset,0062,SI,0.005,0.022691785
RippledObjectsDataset,0063,3DSC,0.005,1.493069582
RippledObjectsDataset,0063,FPFH,0.005,1.13011498
RippledObjectsDataset,0063,QUICCI,0.005,0.019721178
RippledObjectsDataset,0063,RICI,0.005,0.017258321
RippledObjectsDataset,0063,SI,0.005,0.106701923
RippledObjectsDataset,0064,3DSC,0.005,1.87811053
RippledObjectsDataset,0064,FPFH,0.005,2.715190822
RippledObjectsDataset,0064,QUICCI,0.005,0.019033719
RippledObjectsDataset,0064,RICI,0.005,0.018867989
RippledObjectsDataset,0064,SI,0.005,0.085577446
RippledObjectsDataset,0065,3DSC,0.005,0.745559282
RippledObjectsDataset,0065,FPFH,0.005,6.057105697
RippledObjectsDataset,0065,QUICCI,0.005,0.128776278
RippledObjectsDataset,0065,RICI,0.005,0.124322144
RippledObjectsDataset,0065,SI,0.005,0.40987085
RippledObjectsDataset,0066,3DSC,0.005,0.76601848
RippledObjectsDataset,0066,FPFH,0.005,4.284309302
RippledObjectsDataset,0066,QUICCI,0.005,0.03638418
RippledObjectsDataset,0066,RICI,0.005,0.035272242
RippledObjectsDataset,0066,SI,0.005,0.135322821
RippledObjectsDataset,0067,3DSC,0.005,1.443482437
RippledObjectsDataset,0067,FPFH,0.005,3.224265674
RippledObjectsDataset,0067,QUICCI,0.005,0.016195082
RippledObjectsDataset,0067,RICI,0.005,0.013839985
RippledObjectsDataset,0067,SI,0.005,0.11894014
RippledObjectsDataset,0068,3DSC,0.005,1.886148821
RippledObjectsDataset,0068,FPFH,0.005,3.933616346
RippledObjectsDataset,0068,QUICCI,0.005,0.020936827
RippledObjectsDataset,0068,RICI,0.005,0.01822705
RippledObjectsDataset,0068,SI,0.005,0.186699455
RippledObjectsDataset,0069,3DSC,0.005,0.37428678
RippledObjectsDataset,0069,FPFH,0.005,4.100156063
RippledObjectsDataset,0069,QUICCI,0.005,0.006504923
RippledObjectsDataset,0069,RICI,0.005,0.006102144
RippledObjectsDataset,0069,SI,0.005,0.065587398
RippledObjectsDataset,0070,3DSC,0.005,0.310953959
RippledObjectsDataset,0070,FPFH,0.005,1.700187075
RippledObjectsDataset,0070,QUICCI,0.005,0.00044985
RippledObjectsDataset,0070,RICI,0.005,0.00044606
RippledObjectsDataset,0070,SI,0.005,0.01871721
RippledObjectsDataset,0071,3DSC,0.005,1.608867705
RippledObjectsDataset,0071,FPFH,0.005,3.861583295
RippledObjectsDataset,0071,QUICCI,0.005,0.026608831
RippledObjectsDataset,0071,RICI,0.005,0.023603574
RippledObjectsDataset,0071,SI,0.005,0.193299918
RippledObjectsDataset,0072,3DSC,0.005,1.624635728
RippledObjectsDataset,0072,FPFH,0.005,2.02395678
RippledObjectsDataset,0072,QUICCI,0.005,0.062651181
RippledObjectsDataset,0072,RICI,0.005,0.061779192
RippledObjectsDataset,0072,SI,0.005,0.259366856
RippledObjectsDataset,0073,3DSC,0.005,0.404039027
RippledObjectsDataset,0073,FPFH,0.005,3.477402516
RippledObjectsDataset,0073,QUICCI,0.005,0.004284525
RippledObjectsDataset,0073,RICI,0.005,0.004118566
RippledObjectsDataset,0073,SI,0.005,0.059626004
RippledObjectsDataset,0074,3DSC,0.005,2.627899358
RippledObjectsDataset,0074,FPFH,0.005,3.120650858
RippledObjectsDataset,0074,QUICCI,0.005,0.038989897
RippledObjectsDataset,0074,RICI,0.005,0.038729708
RippledObjectsDataset,0074,SI,0.005,0.26487474
RippledObjectsDataset,0075,3DSC,0.005,1.884040234
RippledObjectsDataset,0075,FPFH,0.005,2.903889095
RippledObjectsDataset,0075,QUICCI,0.005,0.018500129
RippledObjectsDataset,0075,RICI,0.005,0.01843756
RippledObjectsDataset,0075,SI,0.005,0.045038501
RippledObjectsDataset,0076,3DSC,0.005,0.507909663
RippledObjectsDataset,0076,FPFH,0.005,3.339648917
RippledObjectsDataset,0076,QUICCI,0.005,0.043572412
RippledObjectsDataset,0076,RICI,0.005,0.042727913
RippledObjectsDataset,0076,SI,0.005,0.183635549
RippledObjectsDataset,0077,3DSC,0.005,2.16084689
RippledObjectsDataset,0077,FPFH,0.005,5.179417749
RippledObjectsDataset,0077,QUICCI,0.005,0.071397092
RippledObjectsDataset,0077,RICI,0.005,0.070235013
RippledObjectsDataset,0077,SI,0.005,0.371719502
RippledObjectsDataset,0078,3DSC,0.005,1.830315413
RippledObjectsDataset,0078,FPFH,0.005,4.733187849
RippledObjectsDataset,0078,QUICCI,0.005,0.048109538
RippledObjectsDataset,0078,RICI,0.005,0.030518207
RippledObjectsDataset,0078,SI,0.005,0.265699748
RippledObjectsDataset,0079,3DSC,0.005,1.062100575
RippledObjectsDataset,0079,FPFH,0.005,3.467030138
