object,descriptor,supportRadius,similarity,tdOne,tdTwo,tSim
0001,FPFH,1.000000,0.001004,19.492310,19.149291,0.174839
0001,FPFH,1.500000,0.001004,19.372912,12.661472,0.171036
0001,FPFH,2.000000,0.001004,9.591695,9.316302,0.169439
0001,FPFH,5.000000,0.001004,9.449237,9.089042,0.173532
0001,FPFH,10.000000,0.001004,9.436056,9.291764,0.171548
0001,FPFH,50.000000,0.001004,9.473568,9.166089,0.171991
0002,RICI,0.050000,0.001712,0.511794,0.500513,0.568390
0002,RICI,0.100000,0.001728,0.512473,0.499464,0.587182
0002,RICI,0.500000,0.004748,0.528847,0.515399,0.711927
0002,RICI,1.000000,0.009351,0.512232,0.511545,0.444030
0002,RICI,1.500000,0.014298,0.529031,0.498877,0.439452
0002,RICI,2.000000,0.019691,0.506888,0.516167,0.433747
0002,RICI,5.000000,0.073845,0.532088,0.488445,0.430639
0002,RICI,10.000000,0.120077,0.521766,0.483533,0.430797
0002,RICI,50.000000,0.120077,0.535736,0.488299,0.429154
0002,QUICCI,0.050000,0.000000,0.551726,0.505917,0.250734
0002,QUICCI,0.100000,0.000000,0.517104,0.511440,0.249844
0002,QUICCI,0.500000,0.000000,0.517208,0.520144,0.247613
0002,QUICCI,1.000000,0.000000,0.552636,0.533423,0.249834
0002,QUICCI,1.500000,0.000067,0.522189,0.512807,0.362245
0002,QUICCI,2.000000,0.003019,0.546028,0.511395,0.306746
0002,QUICCI,5.000000,0.057301,0.519231,0.508646,0.243185
0002,QUICCI,10.000000,0.120077,0.530685,0.491410,0.248804
0002,QUICCI,50.000000,0.120077,0.516997,0.509163,0.241477
0002,SI,0.050000,0.001382,0.278471,0.254959,0.501520
0002,SI,0.100000,0.000584,0.269442,0.270775,0.504282
0002,SI,0.500000,0.000193,0.276314,0.275430,0.448586
0002,SI,1.000000,0.000158,0.284971,0.278993,0.427771
0002,SI,1.500000,0.000145,0.279351,0.272144,0.431324
0002,SI,2.000000,0.000137,0.275695,0.269076,0.423558
0002,SI,5.000000,0.000125,0.276164,0.267977,0.425006
0002,SI,10.000000,0.000123,0.276536,0.272797,0.428451
0002,SI,50.000000,0.000115,0.275948,0.271426,0.658958
0002,3DSC,0.050000,0.004719,1.067781,0.835122,10.083088
0002,3DSC,0.100000,0.003255,1.257799,1.251930,10.345532
0002,3DSC,0.500000,0.120077,0.265110,0.208110,7.226813
0002,3DSC,1.000000,0.120077,0.255386,0.211221,8.226736
0002,3DSC,1.500000,0.120077,0.258047,0.225272,7.312527
0002,3DSC,2.000000,0.120077,0.252543,0.224467,8.133118
0002,3DSC,5.000000,0.120077,0.267489,0.227267,7.264916
0002,3DSC,10.000000,0.120077,0.271782,0.223304,8.219043
0002,3DSC,50.000000,0.120077,0.256885,0.208671,7.202960
0002,FPFH,0.050000,0.000333,5.122431,4.982321,0.246789
0002,FPFH,0.100000,0.001048,8.310846,7.364676,0.254761
0002,FPFH,0.500000,0.001192,13.404970,13.232729,0.252257
0002,FPFH,1.000000,0.001192,13.195886,12.901601,0.428142
0002,FPFH,1.500000,0.001192,13.081530,13.024039,0.251023
0002,FPFH,2.000000,0.001192,12.909686,12.642174,0.250387
0002,FPFH,5.000000,0.001192,12.881291,12.617603,0.253383
0002,FPFH,10.000000,0.001192,13.192983,13.224892,0.250462
0002,FPFH,50.000000,0.001192,13.026807,12.716523,0.392924
0003,RICI,0.050000,0.001787,0.321745,0.245231,0.543284
0003,RICI,0.100000,0.001650,0.316399,0.247500,0.430134
0003,RICI,0.500000,0.003724,0.325657,0.245375,0.350208
0003,RICI,1.000000,0.007348,0.310721,0.240369,0.328435
0003,RICI,1.500000,0.011007,0.315355,0.237728,0.335403
0003,RICI,2.000000,0.014944,0.319082,0.233632,0.333010
0003,RICI,5.000000,0.057333,0.311691,0.237312,0.331795
0003,RICI,10.000000,0.112647,0.306077,0.240032,0.328708
0003,RICI,50.000000,0.112647,0.307675,0.233367,0.329022
0003,QUICCI,0.050000,0.000000,0.318583,0.250609,0.194918
0003,QUICCI,0.100000,0.000000,0.330192,0.247966,0.195352
0003,QUICCI,0.500000,0.000000,0.322188,0.251346,0.196721
0003,QUICCI,1.000000,0.000000,0.318831,0.247318,0.192762
0003,QUICCI,1.500000,0.000039,0.330513,0.242061,0.193073
0003,QUICCI,2.000000,0.000434,0.316177,0.244132,0.203108
0003,QUICCI,5.000000,0.041125,0.323520,0.246839,0.194764
0003,QUICCI,10.000000,0.112647,0.316984,0.247823,0.313831
0003,QUICCI,50.000000,0.112647,0.327412,0.248274,0.273831
0003,SI,0.050000,0.002709,0.205250,0.183888,0.368673
0003,SI,0.100000,0.001096,0.207052,0.178014,0.375007
0003,SI,0.500000,0.000322,0.211389,0.188234,0.357011
0003,SI,1.000000,0.000263,0.211084,0.189682,0.335058
0003,SI,1.500000,0.000238,0.215119,0.185520,0.331759
0003,SI,2.000000,0.000225,0.211556,0.191675,0.326738
0003,SI,5.000000,0.000211,0.215852,0.193253,0.323249
0003,SI,10.000000,0.000201,0.214147,0.191270,0.322696
0003,SI,50.000000,0.000183,0.211960,0.198199,0.325586
0003,3DSC,0.050000,0.004600,0.696861,0.551372,8.535095
0003,3DSC,0.100000,0.003475,0.980761,0.833456,7.072758
0003,3DSC,0.500000,0.112647,0.202288,0.167435,5.834634
0003,3DSC,1.000000,0.112647,0.233055,0.183697,5.714085
0003,3DSC,1.500000,0.112647,0.223647,0.185190,5.500488
0003,3DSC,2.000000,0.112647,0.218372,0.175366,6.474638
0003,3DSC,5.000000,0.112647,0.214052,0.178149,5.462558
0003,3DSC,10.000000,0.112647,0.219267,0.177932,5.455037
0003,3DSC,50.000000,0.112647,0.225755,0.175101,6.352905
0003,FPFH,0.050000,0.000359,3.928266,3.494917,0.208974
0003,FPFH,0.100000,0.000787,6.067046,4.970381,0.192563
0003,FPFH,0.500000,0.001487,10.502177,9.316393,0.186431
0003,FPFH,1.000000,0.001487,10.481412,9.548269,0.192812
0003,FPFH,1.500000,0.001487,11.135907,9.751957,0.190815
0003,FPFH,2.000000,0.001487,11.012850,9.627355,0.194000
0003,FPFH,5.000000,0.001487,10.952568,9.649677,0.186507
0003,FPFH,10.000000,0.001487,10.612850,9.517394,0.194019
0003,FPFH,50.000000,0.001487,10.664944,9.349001,0.185081
0004,RICI,0.050000,0.001351,0.616794,1.294442,0.663819
0004,RICI,0.100000,0.001092,0.617719,1.279852,0.658773
0004,RICI,0.500000,0.001738,0.602598,1.180459,0.564096
0004,RICI,1.000000,0.002900,0.574026,1.179550,0.509229
0004,RICI,1.500000,0.004231,0.589651,1.258389,0.487791
0004,RICI,2.000000,0.005624,0.593028,1.176293,0.510906
0004,RICI,5.000000,0.015528,0.569377,1.158907,0.478396
0004,RICI,10.000000,0.067254,0.558574,1.156793,0.478860
0004,RICI,50.000000,0.116810,0.568254,1.176660,0.481605
0004,QUICCI,0.050000,0.000007,0.580972,1.183755,0.270028
0004,QUICCI,0.100000,0.000000,0.571531,1.186192,0.276012
0004,QUICCI,0.500000,0.000000,0.572154,1.174148,0.275755
0004,QUICCI,1.000000,0.000000,0.577826,1.173867,0.273383
0004,QUICCI,1.500000,0.000000,0.570417,1.177194,0.271668
0004,QUICCI,2.000000,0.000000,0.566070,1.166394,0.270414
0004,QUICCI,5.000000,0.000000,0.566023,1.165369,0.269287
0004,QUICCI,10.000000,0.047309,0.564771,1.167103,0.267007
0004,QUICCI,50.000000,0.116810,0.567251,1.172889,0.267383
0004,SI,0.050000,0.004225,0.265070,0.275627,0.536533
0004,SI,0.100000,0.001741,0.270091,0.312455,0.574196
0004,SI,0.500000,0.000421,0.273026,0.400739,0.523584
0004,SI,1.000000,0.000283,0.285549,0.404458,0.497296
0004,SI,1.500000,0.000242,0.277292,0.400008,0.487464
0004,SI,2.000000,0.000224,0.275681,0.400665,0.476334
0004,SI,5.000000,0.000186,0.321105,0.436244,0.456498
0004,SI,10.000000,0.000175,0.297342,0.433775,0.468787
0004,SI,50.000000,0.000172,0.286646,0.400128,0.453044
0004,3DSC,0.050000,0.005088,0.951597,0.409490,11.385074
0004,3DSC,0.100000,0.003370,1.331828,0.585403,10.410604
0004,3DSC,0.500000,0.004262,0.230874,0.460364,8.044680
0004,3DSC,1.000000,0.116810,0.230217,0.197085,7.752474
0004,3DSC,1.500000,0.116810,0.248214,0.223846,7.700567
0004,3DSC,2.000000,0.116810,0.231324,0.197109,7.721981
0004,3DSC,5.000000,0.116810,0.235986,0.199341,7.760862
0004,3DSC,10.000000,0.116810,0.229867,0.198517,7.665293
0004,3DSC,50.000000,0.116810,0.254844,0.206101,7.414056
0004,FPFH,0.050000,0.000442,5.185974,6.544509,0.267761
0004,FPFH,0.100000,0.001124,7.808610,7.200464,0.268819
0004,FPFH,0.500000,0.000593,13.612356,14.907825,0.270581
0004,FPFH,1.000000,0.000490,13.748937,20.002728,0.272350
0004,FPFH,1.500000,0.000490,13.536297,18.778430,0.271633
0004,FPFH,2.000000,0.000490,13.203339,19.512758,0.270352
0004,FPFH,5.000000,0.000490,13.870214,19.827988,0.271536
0004,FPFH,10.000000,0.000490,13.544191,19.649672,0.266868
0004,FPFH,50.000000,0.000490,13.319050,18.737113,0.268636
0005,RICI,0.050000,0.002287,0.018434,0.103504,0.104026
0005,RICI,0.100000,0.001484,0.019568,0.102844,0.110514
0005,RICI,0.500000,0.003296,0.017762,0.095619,0.090978
0005,RICI,1.000000,0.006372,0.016425,0.093986,0.087940
0005,RICI,1.500000,0.009583,0.017457,0.097721,0.086309
0005,RICI,2.000000,0.012392,0.018270,0.105615,0.086919
0005,RICI,5.000000,0.063725,0.018263,0.100445,0.086401
