dataset,object,descriptor,category,distanceFunction,similarity
OverlappingObjects,0210,SI,15.1-25.0,Cosine,0.661288
OverlappingObjects,0210,SI,15.1-25.0,Pearson,0.609580
OverlappingObjects,0211,SI,15.1-25.0,Cosine,0.501614
OverlappingObjects,0211,SI,15.1-25.0,Pearson,0.687565
OverlappingObjects,0212,SI,15.1-25.0,Cosine,0.712399
OverlappingObjects,0212,SI,15.1-25.0,Pearson,0.598792
OverlappingObjects,0213,SI,15.1-25.0,Cosine,0.678181
OverlappingObjects,0213,SI,15.1-25.0,Pearson,0.607909
OverlappingObjects,0214,SI,15.1-25.0,Cosine,0.639963
OverlappingObjects,0214,SI,15.1-25.0,Pearson,0.622893
OverlappingObjects,0215,SI,15.1-25.0,Cosine,0.729816
OverlappingObjects,0215,SI,15.1-25.0,Pearson,0.587813
OverlappingObjects,0216,SI,15.1-25.0,Cosine,0.256357
OverlappingObjects,0216,SI,15.1-25.0,Pearson,0.808659
OverlappingObjects,0217,SI,15.1-25.0,Cosine,0.508581
OverlappingObjects,0217,SI,15.1-25.0,Pearson,0.685117
OverlappingObjects,0218,SI,15.1-25.0,Cosine,0.508713
OverlappingObjects,0218,SI,15.1-25.0,Pearson,0.679508
OverlappingObjects,0219,SI,15.1-25.0,Cosine,0.610183
OverlappingObjects,0219,SI,15.1-25.0,Pearson,0.638661
OverlappingObjects,0220,SI,15.1-25.0,Cosine,0.583441
OverlappingObjects,0220,SI,15.1-25.0,Pearson,0.647132
OverlappingObjects,0221,SI,15.1-25.0,Cosine,0.269073
OverlappingObjects,0221,SI,15.1-25.0,Pearson,0.805565
OverlappingObjects,0222,SI,15.1-25.0,Cosine,0.638349
OverlappingObjects,0222,SI,15.1-25.0,Pearson,0.616863
OverlappingObjects,0223,SI,15.1-25.0,Cosine,0.752268
OverlappingObjects,0223,SI,15.1-25.0,Pearson,0.580542
OverlappingObjects,0224,SI,15.1-25.0,Cosine,0.724176
OverlappingObjects,0224,SI,15.1-25.0,Pearson,0.586528
OverlappingObjects,0225,SI,15.1-25.0,Cosine,0.739594
OverlappingObjects,0225,SI,15.1-25.0,Pearson,0.582686
OverlappingObjects,0226,SI,15.1-25.0,Cosine,0.741498
OverlappingObjects,0226,SI,15.1-25.0,Pearson,0.581540
OverlappingObjects,0227,SI,15.1-25.0,Cosine,0.609101
OverlappingObjects,0227,SI,15.1-25.0,Pearson,0.637048
OverlappingObjects,0228,SI,15.1-25.0,Cosine,0.479362
OverlappingObjects,0228,SI,15.1-25.0,Pearson,0.693451
OverlappingObjects,0229,SI,15.1-25.0,Cosine,0.569559
OverlappingObjects,0229,SI,15.1-25.0,Pearson,0.650490
OverlappingObjects,0230,SI,15.1-25.0,Cosine,0.417999
OverlappingObjects,0230,SI,15.1-25.0,Pearson,0.724180
OverlappingObjects,0231,SI,15.1-25.0,Cosine,0.576459
OverlappingObjects,0231,SI,15.1-25.0,Pearson,0.650242
OverlappingObjects,0232,SI,15.1-25.0,Cosine,0.571622
OverlappingObjects,0232,SI,15.1-25.0,Pearson,0.648278
OverlappingObjects,0233,SI,15.1-25.0,Cosine,0.623603
OverlappingObjects,0233,SI,15.1-25.0,Pearson,0.627251
OverlappingObjects,0234,SI,15.1-25.0,Cosine,0.550751
OverlappingObjects,0234,SI,15.1-25.0,Pearson,0.660031
OverlappingObjects,0235,SI,15.1-25.0,Cosine,0.467273
OverlappingObjects,0235,SI,15.1-25.0,Pearson,0.694768
OverlappingObjects,0236,SI,15.1-25.0,Cosine,0.743965
OverlappingObjects,0236,SI,15.1-25.0,Pearson,0.587765
OverlappingObjects,0237,SI,15.1-25.0,Cosine,0.711473
OverlappingObjects,0237,SI,15.1-25.0,Pearson,0.592043
OverlappingObjects,0238,SI,15.1-25.0,Cosine,0.679175
OverlappingObjects,0238,SI,15.1-25.0,Pearson,0.604888
OverlappingObjects,0239,SI,15.1-25.0,Cosine,0.739748
OverlappingObjects,0239,SI,15.1-25.0,Pearson,0.582332
OverlappingObjects,0240,SI,15.1-25.0,Cosine,0.629821
OverlappingObjects,0240,SI,15.1-25.0,Pearson,0.626125
OverlappingObjects,0241,SI,15.1-25.0,Cosine,0.453666
OverlappingObjects,0241,SI,15.1-25.0,Pearson,0.707921
OverlappingObjects,0242,SI,15.1-25.0,Cosine,0.492058
OverlappingObjects,0242,SI,15.1-25.0,Pearson,0.680378
OverlappingObjects,0243,SI,15.1-25.0,Cosine,0.615768
OverlappingObjects,0243,SI,15.1-25.0,Pearson,0.631133
OverlappingObjects,0244,SI,15.1-25.0,Cosine,0.403543
OverlappingObjects,0244,SI,15.1-25.0,Pearson,0.737592
OverlappingObjects,0245,SI,15.1-25.0,Cosine,0.659958
OverlappingObjects,0245,SI,15.1-25.0,Pearson,0.612878
OverlappingObjects,0246,SI,15.1-25.0,Cosine,0.656044
OverlappingObjects,0246,SI,15.1-25.0,Pearson,0.614462
OverlappingObjects,0247,SI,15.1-25.0,Cosine,0.619615
OverlappingObjects,0247,SI,15.1-25.0,Pearson,0.632115
OverlappingObjects,0248,SI,15.1-25.0,Cosine,0.648660
OverlappingObjects,0248,SI,15.1-25.0,Pearson,0.618557
OverlappingObjects,0249,SI,15.1-25.0,Cosine,0.492525
OverlappingObjects,0249,SI,15.1-25.0,Pearson,0.690810
OverlappingObjects,0250,SI,15.1-25.0,Cosine,0.573279
OverlappingObjects,0250,SI,15.1-25.0,Pearson,0.657044
OverlappingObjects,0251,SI,15.1-25.0,Cosine,0.632892
OverlappingObjects,0251,SI,15.1-25.0,Pearson,0.625807
OverlappingObjects,0252,SI,15.1-25.0,Cosine,0.506884
OverlappingObjects,0252,SI,15.1-25.0,Pearson,0.679336
OverlappingObjects,0253,SI,15.1-25.0,Cosine,0.733689
OverlappingObjects,0253,SI,15.1-25.0,Pearson,0.584333
OverlappingObjects,0254,SI,15.1-25.0,Cosine,0.601561
OverlappingObjects,0254,SI,15.1-25.0,Pearson,0.641117
OverlappingObjects,0255,SI,15.1-25.0,Cosine,0.642488
OverlappingObjects,0255,SI,15.1-25.0,Pearson,0.620331
OverlappingObjects,0256,SI,15.1-25.0,Cosine,0.577152
OverlappingObjects,0256,SI,15.1-25.0,Pearson,0.649637
OverlappingObjects,0257,SI,15.1-25.0,Cosine,0.428144
OverlappingObjects,0257,SI,15.1-25.0,Pearson,0.728770
OverlappingObjects,0258,SI,15.1-25.0,Cosine,0.629726
OverlappingObjects,0258,SI,15.1-25.0,Pearson,0.633615
OverlappingObjects,0259,SI,15.1-25.0,Cosine,0.573407
OverlappingObjects,0259,SI,15.1-25.0,Pearson,0.658417
OverlappingObjects,0260,SI,15.1-25.0,Cosine,0.570442
OverlappingObjects,0260,SI,15.1-25.0,Pearson,0.653565
OverlappingObjects,0261,SI,15.1-25.0,Cosine,0.541909
OverlappingObjects,0261,SI,15.1-25.0,Pearson,0.665123
OverlappingObjects,0262,SI,15.1-25.0,Cosine,0.591740
OverlappingObjects,0262,SI,15.1-25.0,Pearson,0.646538
OverlappingObjects,0263,SI,15.1-25.0,Cosine,0.585412
OverlappingObjects,0263,SI,15.1-25.0,Pearson,0.643060
OverlappingObjects,0264,SI,15.1-25.0,Cosine,0.553599
OverlappingObjects,0264,SI,15.1-25.0,Pearson,0.655005
OverlappingObjects,0265,SI,15.1-25.0,Cosine,0.671087
OverlappingObjects,0265,SI,15.1-25.0,Pearson,0.606805
OverlappingObjects,0266,SI,15.1-25.0,Cosine,0.738596
OverlappingObjects,0266,SI,15.1-25.0,Pearson,0.582545
OverlappingObjects,0267,SI,15.1-25.0,Cosine,0.602761
OverlappingObjects,0267,SI,15.1-25.0,Pearson,0.637683
OverlappingObjects,0268,SI,15.1-25.0,Cosine,0.677129
OverlappingObjects,0268,SI,15.1-25.0,Pearson,0.606025
OverlappingObjects,0269,SI,15.1-25.0,Cosine,0.588836
OverlappingObjects,0269,SI,15.1-25.0,Pearson,0.650521
OverlappingObjects,0270,SI,15.1-25.0,Cosine,0.605961
OverlappingObjects,0270,SI,15.1-25.0,Pearson,0.637472
OverlappingObjects,0271,SI,15.1-25.0,Cosine,0.674442
OverlappingObjects,0271,SI,15.1-25.0,Pearson,0.609869
OverlappingObjects,0272,SI,15.1-25.0,Cosine,0.672894
OverlappingObjects,0272,SI,15.1-25.0,Pearson,0.607788
OverlappingObjects,0273,SI,15.1-25.0,Cosine,0.565684
OverlappingObjects,0273,SI,15.1-25.0,Pearson,0.662829
OverlappingObjects,0274,SI,15.1-25.0,Cosine,0.590346
OverlappingObjects,0274,SI,15.1-25.0,Pearson,0.655961
OverlappingObjects,0275,SI,15.1-25.0,Cosine,0.680957
OverlappingObjects,0275,SI,15.1-25.0,Pearson,0.602563
OverlappingObjects,0276,SI,15.1-25.0,Cosine,0.513836
OverlappingObjects,0276,SI,15.1-25.0,Pearson,0.684791
OverlappingObjects,0277,SI,15.1-25.0,Cosine,0.576942
OverlappingObjects,0277,SI,15.1-25.0,Pearson,0.656573
OverlappingObjects,0278,SI,15.1-25.0,Cosine,0.504687
OverlappingObjects,0278,SI,15.1-25.0,Pearson,0.682374
OverlappingObjects,0279,SI,15.1-25.0,Cosine,0.639665
OverlappingObjects,0279,SI,15.1-25.0,Pearson,0.618271
OverlappingObjects,0280,SI,15.1-25.0,Cosine,0.559259
OverlappingObjects,0280,SI,15.1-25.0,Pearson,0.663209
OverlappingObjects,0281,SI,15.1-25.0,Cosine,0.564135
OverlappingObjects,0281,SI,15.1-25.0,Pearson,0.656296
OverlappingObjects,0282,SI,15.1-25.0,Cosine,0.433781
OverlappingObjects,0282,SI,15.1-25.0,Pearson,0.722508
OverlappingObjects,0283,SI,15.1-25.0,Cosine,0.634703
OverlappingObjects,0283,SI,15.1-25.0,Pearson,0.619909
OverlappingObjects,0284,SI,15.1-25.0,Cosine,0.381054
OverlappingObjects,0284,SI,15.1-25.0,Pearson,0.738348
OverlappingObjects,0285,SI,15.1-25.0,Cosine,0.598797
OverlappingObjects,0285,SI,15.1-25.0,Pearson,0.639673
OverlappingObjects,0286,SI,15.1-25.0,Cosine,0.527322
OverlappingObjects,0286,SI,15.1-25.0,Pearson,0.683511
OverlappingObjects,0287,SI,15.1-25.0,Cosine,0.617818
OverlappingObjects,0287,SI,15.1-25.0,Pearson,0.636630
OverlappingObjects,0288,SI,15.1-25.0,Cosine,0.704876
OverlappingObjects,0288,SI,15.1-25.0,Pearson,0.594955
OverlappingObjects,0289,SI,15.1-25.0,Cosine,0.515664
OverlappingObjects,0289,SI,15.1-25.0,Pearson,0.675020
OverlappingObjects,0290,SI,15.1-25.0,Cosine,0.260481
OverlappingObjects,0290,SI,15.1-25.0,Pearson,0.812233
OverlappingObjects,0291,SI,15.1-25.0,Cosine,0.708169
OverlappingObjects,0291,SI,15.1-25.0,Pearson,0.593847
OverlappingObjects,0292,SI,15.1-25.0,Cosine,0.396877
OverlappingObjects,0292,SI,15.1-25.0,Pearson,0.731058
OverlappingObjects,0293,SI,15.1-25.0,Cosine,0.194631
OverlappingObjects,0293,SI,15.1-25.0,Pearson,0.857953
OverlappingObjects,0294,SI,15.1-25.0,Cosine,0.196836
OverlappingObjects,0294,SI,15.1-25.0,Pearson,0.851484
OverlappingObjects,0295,SI,15.1-25.0,Cosine,0.671534
OverlappingObjects,0295,SI,15.1-25.0,Pearson,0.605114
OverlappingObjects,0296,SI,15.1-25.0,Cosine,0.571870
OverlappingObjects,0296,SI,15.1-25.0,Pearson,0.649746
OverlappingObjects,0297,SI,15.1-25.0,Cosine,0.662937
OverlappingObjects,0297,SI,15.1-25.0,Pearson,0.619449
OverlappingObjects,0298,SI,15.1-25.0,Cosine,0.518402
OverlappingObjects,0298,SI,15.1-25.0,Pearson,0.668023
OverlappingObjects,0299,SI,15.1-25.0,Cosine,0.658324
OverlappingObjects,0299,SI,15.1-25.0,Pearson,0.613829
OverlappingObjects,0300,SI,15.1-25.0,Cosine,0.684734
OverlappingObjects,0300,SI,15.1-25.0,Pearson,0.604228
OverlappingObjects,0301,SI,15.1-25.0,Cosine,0.591792
OverlappingObjects,0301,SI,15.1-25.0,Pearson,0.640423
OverlappingObjects,0302,SI,15.1-25.0,Cosine,0.632363
OverlappingObjects,0302,SI,15.1-25.0,Pearson,0.623512
OverlappingObjects,0303,SI,15.1-25.0,Cosine,0.611670
OverlappingObjects,0303,SI,15.1-25.0,Pearson,0.632421
OverlappingObjects,0304,SI,15.1-25.0,Cosine,0.567571
OverlappingObjects,0304,SI,15.1-25.0,Pearson,0.657281
OverlappingObjects,0305,SI,15.1-25.0,Cosine,0.684566
OverlappingObjects,0305,SI,15.1-25.0,Pearson,0.603536
OverlappingObjects,0306,SI,15.1-25.0,Cosine,0.587203
OverlappingObjects,0306,SI,15.1-25.0,Pearson,0.650732
OverlappingObjects,0307,SI,15.1-25.0,Cosine,0.679971
OverlappingObjects,0307,SI,15.1-25.0,Pearson,0.612839
OverlappingObjects,0308,SI,15.1-25.0,Cosine,0.578814
OverlappingObjects,0308,SI,15.1-25.0,Pearson,0.648931
OverlappingObjects,0309,SI,15.1-25.0,Cosine,0.628498
OverlappingObjects,0309,SI,15.1-25.0,Pearson,0.628385
OverlappingObjects,0310,SI,15.1-25.0,Cosine,0.673927
OverlappingObjects,0310,SI,15.1-25.0,Pearson,0.614683
OverlappingObjects,0311,SI,15.1-25.0,Cosine,0.555638
OverlappingObjects,0311,SI,15.1-25.0,Pearson,0.658945
OverlappingObjects,0312,SI,15.1-25.0,Cosine,0.704237
OverlappingObjects,0312,SI,15.1-25.0,Pearson,0.594238
OverlappingObjects,0313,SI,15.1-25.0,Cosine,0.645037
OverlappingObjects,0313,SI,15.1-25.0,Pearson,0.619041
OverlappingObjects,0314,SI,15.1-25.0,Cosine,0.707520
OverlappingObjects,0314,SI,15.1-25.0,Pearson,0.594095
OverlappingObjects,0315,SI,15.1-25.0,Cosine,0.394827
OverlappingObjects,0315,SI,15.1-25.0,Pearson,0.733727
OverlappingObjects,0316,SI,15.1-25.0,Cosine,0.774583
OverlappingObjects,0316,SI,15.1-25.0,Pearson,0.569307
OverlappingObjects,0317,SI,15.1-25.0,Cosine,0.618538
OverlappingObjects,0317,SI,15.1-25.0,Pearson,0.631039
OverlappingObjects,0318,SI,15.1-25.0,Cosine,0.594055
OverlappingObjects,0318,SI,15.1-25.0,Pearson,0.646081
OverlappingObjects,0319,SI,15.1-25.0,Cosine,0.622644
OverlappingObjects,0319,SI,15.1-25.0,Pearson,0.628270
OverlappingObjects,0320,SI,15.1-25.0,Cosine,0.604139
OverlappingObjects,0320,SI,15.1-25.0,Pearson,0.633948
OverlappingObjects,0321,SI,15.1-25.0,Cosine,0.663629
OverlappingObjects,0321,SI,15.1-25.0,Pearson,0.611053
OverlappingObjects,0322,SI,15.1-25.0,Cosine,0.614259
OverlappingObjects,0322,SI,15.1-25.0,Pearson,0.631916
OverlappingObjects,0323,SI,15.1-25.0,Cosine,0.700910
OverlappingObjects,0323,SI,15.1-25.0,Pearson,0.596040
OverlappingObjects,0324,SI,15.1-25.0,Cosine,0.659781
OverlappingObjects,0324,SI,15.1-25.0,Pearson,0.615135
OverlappingObjects,0325,SI,15.1-25.0,Cosine,0.602763
OverlappingObjects,0325,SI,15.1-25.0,Pearson,0.635891
OverlappingObjects,0326,SI,15.1-25.0,Cosine,0.570739
OverlappingObjects,0326,SI,15.1-25.0,Pearson,0.652737
OverlappingObjects,0327,SI,15.1-25.0,Cosine,0.727077
OverlappingObjects,0327,SI,15.1-25.0,Pearson,0.585593
OverlappingObjects,0328,SI,15.1-25.0,Cosine,0.644539
OverlappingObjects,0328,SI,15.1-25.0,Pearson,0.622301
OverlappingObjects,0329,SI,15.1-25.0,Cosine,0.518353
OverlappingObjects,0329,SI,15.1-25.0,Pearson,0.679518
OverlappingObjects,0330,SI,15.1-25.0,Cosine,0.660337
OverlappingObjects,0330,SI,15.1-25.0,Pearson,0.611723
OverlappingObjects,0331,SI,15.1-25.0,Cosine,0.502467
OverlappingObjects,0331,SI,15.1-25.0,Pearson,0.690173
OverlappingObjects,0332,SI,15.1-25.0,Cosine,0.257322
OverlappingObjects,0332,SI,15.1-25.0,Pearson,0.809788
OverlappingObjects,0333,SI,15.1-25.0,Cosine,0.695462
OverlappingObjects,0333,SI,15.1-25.0,Pearson,0.597579
OverlappingObjects,0334,SI,15.1-25.0,Cosine,0.321566
OverlappingObjects,0334,SI,15.1-25.0,Pearson,0.776769
OverlappingObjects,0335,SI,15.1-25.0,Cosine,0.546561
OverlappingObjects,0335,SI,15.1-25.0,Pearson,0.665780
OverlappingObjects,0336,SI,15.1-25.0,Cosine,0.513788
OverlappingObjects,0336,SI,15.1-25.0,Pearson,0.674603
OverlappingObjects,0337,SI,15.1-25.0,Cosine,0.669676
OverlappingObjects,0337,SI,15.1-25.0,Pearson,0.609898
OverlappingObjects,0338,SI,15.1-25.0,Cosine,0.116567
OverlappingObjects,0338,SI,15.1-25.0,Pearson,0.910781
OverlappingObjects,0339,SI,15.1-25.0,Cosine,0.530246
OverlappingObjects,0339,SI,15.1-25.0,Pearson,0.667038
OverlappingObjects,0340,SI,15.1-25.0,Cosine,0.622080
OverlappingObjects,0340,SI,15.1-25.0,Pearson,0.631128
OverlappingObjects,0341,SI,15.1-25.0,Cosine,0.493601
OverlappingObjects,0341,SI,15.1-25.0,Pearson,0.684036
OverlappingObjects,0342,SI,15.1-25.0,Cosine,0.732678
OverlappingObjects,0342,SI,15.1-25.0,Pearson,0.583851
OverlappingObjects,0343,SI,15.1-25.0,Cosine,0.588552
OverlappingObjects,0343,SI,15.1-25.0,Pearson,0.643091
OverlappingObjects,0344,SI,15.1-25.0,Cosine,0.497986
OverlappingObjects,0344,SI,15.1-25.0,Pearson,0.684608
OverlappingObjects,0345,SI,15.1-25.0,Cosine,0.736323
OverlappingObjects,0345,SI,15.1-25.0,Pearson,0.582105
OverlappingObjects,0346,SI,15.1-25.0,Cosine,0.594194
OverlappingObjects,0346,SI,15.1-25.0,Pearson,0.638741
OverlappingObjects,0347,SI,15.1-25.0,Cosine,0.689906
OverlappingObjects,0347,SI,15.1-25.0,Pearson,0.603239
OverlappingObjects,0348,SI,15.1-25.0,Cosine,0.739994
OverlappingObjects,0348,SI,15.1-25.0,Pearson,0.582392
OverlappingObjects,0349,SI,15.1-25.0,Cosine,0.646353
OverlappingObjects,0349,SI,15.1-25.0,Pearson,0.622321
OverlappingObjects,0350,SI,15.1-25.0,Cosine,0.525437
OverlappingObjects,0350,SI,15.1-25.0,Pearson,0.664784
OverlappingObjects,0351,SI,15.1-25.0,Cosine,0.519510
OverlappingObjects,0351,SI,15.1-25.0,Pearson,0.676856
OverlappingObjects,0352,SI,15.1-25.0,Cosine,0.594899
OverlappingObjects,0352,SI,15.1-25.0,Pearson,0.648437
OverlappingObjects,0353,SI,15.1-25.0,Cosine,0.425126
OverlappingObjects,0353,SI,15.1-25.0,Pearson,0.732430
OverlappingObjects,0354,SI,15.1-25.0,Cosine,0.596031
OverlappingObjects,0354,SI,15.1-25.0,Pearson,0.635404
OverlappingObjects,0355,SI,15.1-25.0,Cosine,0.656341
OverlappingObjects,0355,SI,15.1-25.0,Pearson,0.614490
OverlappingObjects,0356,SI,15.1-25.0,Cosine,0.610421
OverlappingObjects,0356,SI,15.1-25.0,Pearson,0.637078
OverlappingObjects,0357,SI,15.1-25.0,Cosine,0.682336
OverlappingObjects,0357,SI,15.1-25.0,Pearson,0.606177
OverlappingObjects,0358,SI,15.1-25.0,Cosine,0.588147
OverlappingObjects,0358,SI,15.1-25.0,Pearson,0.646211
OverlappingObjects,0359,SI,15.1-25.0,Cosine,0.687485
OverlappingObjects,0359,SI,15.1-25.0,Pearson,0.608021
OverlappingObjects,0360,SI,15.1-25.0,Cosine,0.119265
OverlappingObjects,0360,SI,15.1-25.0,Pearson,0.912271
OverlappingObjects,0361,SI,15.1-25.0,Cosine,0.588938
OverlappingObjects,0361,SI,15.1-25.0,Pearson,0.644746
OverlappingObjects,0362,SI,15.1-25.0,Cosine,0.535610
OverlappingObjects,0362,SI,15.1-25.0,Pearson,0.668783
OverlappingObjects,0363,SI,15.1-25.0,Cosine,0.649446
OverlappingObjects,0363,SI,15.1-25.0,Pearson,0.614072
OverlappingObjects,0364,SI,15.1-25.0,Cosine,0.543096
OverlappingObjects,0364,SI,15.1-25.0,Pearson,0.663728
OverlappingObjects,0365,SI,15.1-25.0,Cosine,0.593565
OverlappingObjects,0365,SI,15.1-25.0,Pearson,0.644947
OverlappingObjects,0366,SI,15.1-25.0,Cosine,0.619606
OverlappingObjects,0366,SI,15.1-25.0,Pearson,0.632086
OverlappingObjects,0367,SI,15.1-25.0,Cosine,0.599075
OverlappingObjects,0367,SI,15.1-25.0,Pearson,0.643986
OverlappingObjects,0368,SI,15.1-25.0,Cosine,0.604847
OverlappingObjects,0368,SI,15.1-25.0,Pearson,0.633172
OverlappingObjects,0369,SI,15.1-25.0,Cosine,0.676835
OverlappingObjects,0369,SI,15.1-25.0,Pearson,0.611209
OverlappingObjects,0370,SI,15.1-25.0,Cosine,0.722893
OverlappingObjects,0370,SI,15.1-25.0,Pearson,0.591590
OverlappingObjects,0371,SI,15.1-25.0,Cosine,0.706672
OverlappingObjects,0371,SI,15.1-25.0,Pearson,0.606447
OverlappingObjects,0372,SI,15.1-25.0,Cosine,0.510534
OverlappingObjects,0372,SI,15.1-25.0,Pearson,0.680932
OverlappingObjects,0373,SI,15.1-25.0,Cosine,0.637400
OverlappingObjects,0373,SI,15.1-25.0,Pearson,0.626818
OverlappingObjects,0374,SI,15.1-25.0,Cosine,0.345962
OverlappingObjects,0374,SI,15.1-25.0,Pearson,0.768940
OverlappingObjects,0375,SI,15.1-25.0,Cosine,0.668837
OverlappingObjects,0375,SI,15.1-25.0,Pearson,0.607481
OverlappingObjects,0376,SI,15.1-25.0,Cosine,0.574142
OverlappingObjects,0376,SI,15.1-25.0,Pearson,0.656049
OverlappingObjects,0377,SI,15.1-25.0,Cosine,0.584165
OverlappingObjects,0377,SI,15.1-25.0,Pearson,0.639623
OverlappingObjects,0378,SI,15.1-25.0,Cosine,0.708926
OverlappingObjects,0378,SI,15.1-25.0,Pearson,0.594229
OverlappingObjects,0379,SI,15.1-25.0,Cosine,0.779755
OverlappingObjects,0379,SI,15.1-25.0,Pearson,0.566154
OverlappingObjects,0380,SI,15.1-25.0,Cosine,0.392846
OverlappingObjects,0380,SI,15.1-25.0,Pearson,0.726675
OverlappingObjects,0381,SI,15.1-25.0,Cosine,0.514724
OverlappingObjects,0381,SI,15.1-25.0,Pearson,0.674865
OverlappingObjects,0382,SI,15.1-25.0,Cosine,0.522065
OverlappingObjects,0382,SI,15.1-25.0,Pearson,0.669101
OverlappingObjects,0383,SI,15.1-25.0,Cosine,0.701439
OverlappingObjects,0383,SI,15.1-25.0,Pearson,0.597446
OverlappingObjects,0384,SI,15.1-25.0,Cosine,0.431567
OverlappingObjects,0384,SI,15.1-25.0,Pearson,0.714237
OverlappingObjects,0385,SI,15.1-25.0,Cosine,0.719482
OverlappingObjects,0385,SI,15.1-25.0,Pearson,0.590723
OverlappingObjects,0386,SI,15.1-25.0,Cosine,0.673599
OverlappingObjects,0386,SI,15.1-25.0,Pearson,0.607503
OverlappingObjects,0387,SI,15.1-25.0,Cosine,0.719173
OverlappingObjects,0387,SI,15.1-25.0,Pearson,0.590326
OverlappingObjects,0388,SI,15.1-25.0,Cosine,0.685520
OverlappingObjects,0388,SI,15.1-25.0,Pearson,0.601248
OverlappingObjects,0389,SI,15.1-25.0,Cosine,0.136880
OverlappingObjects,0389,SI,15.1-25.0,Pearson,0.903264
OverlappingObjects,0390,SI,15.1-25.0,Cosine,0.639266
OverlappingObjects,0390,SI,15.1-25.0,Pearson,0.623108
OverlappingObjects,0391,SI,15.1-25.0,Cosine,0.536472
OverlappingObjects,0391,SI,15.1-25.0,Pearson,0.662729
OverlappingObjects,0392,SI,15.1-25.0,Cosine,0.712224
OverlappingObjects,0392,SI,15.1-25.0,Pearson,0.590789
OverlappingObjects,0393,SI,15.1-25.0,Cosine,0.389394
OverlappingObjects,0393,SI,15.1-25.0,Pearson,0.738467
OverlappingObjects,0394,SI,15.1-25.0,Cosine,0.670231
OverlappingObjects,0394,SI,15.1-25.0,Pearson,0.612705
OverlappingObjects,0395,SI,15.1-25.0,Cosine,0.602971
OverlappingObjects,0395,SI,15.1-25.0,Pearson,0.648764
OverlappingObjects,0396,SI,15.1-25.0,Cosine,0.529756
OverlappingObjects,0396,SI,15.1-25.0,Pearson,0.671104
OverlappingObjects,0397,SI,15.1-25.0,Cosine,0.655496
OverlappingObjects,0397,SI,15.1-25.0,Pearson,0.618323
OverlappingObjects,0398,SI,15.1-25.0,Cosine,0.646102
OverlappingObjects,0398,SI,15.1-25.0,Pearson,0.620921
OverlappingObjects,0399,SI,15.1-25.0,Cosine,0.526661
OverlappingObjects,0399,SI,15.1-25.0,Pearson,0.677397
OverlappingObjects,0400,SI,15.1-25.0,Cosine,0.619740
OverlappingObjects,0400,SI,15.1-25.0,Pearson,0.635659
OverlappingObjects,0401,SI,15.1-25.0,Cosine,0.599321
OverlappingObjects,0401,SI,15.1-25.0,Pearson,0.638788
OverlappingObjects,0402,SI,15.1-25.0,Cosine,0.542411
OverlappingObjects,0402,SI,15.1-25.0,Pearson,0.664960
OverlappingObjects,0403,SI,15.1-25.0,Cosine,0.391026
OverlappingObjects,0403,SI,15.1-25.0,Pearson,0.737293
OverlappingObjects,0404,SI,15.1-25.0,Cosine,0.635879
OverlappingObjects,0404,SI,15.1-25.0,Pearson,0.629278
OverlappingObjects,0405,SI,15.1-25.0,Cosine,0.346397
OverlappingObjects,0405,SI,15.1-25.0,Pearson,0.763147
OverlappingObjects,0406,SI,15.1-25.0,Cosine,0.678209
OverlappingObjects,0406,SI,15.1-25.0,Pearson,0.606130
OverlappingObjects,0407,SI,15.1-25.0,Cosine,0.593814
OverlappingObjects,0407,SI,15.1-25.0,Pearson,0.638692
OverlappingObjects,0408,SI,15.1-25.0,Cosine,0.328397
OverlappingObjects,0408,SI,15.1-25.0,Pearson,0.774749
OverlappingObjects,0409,SI,15.1-25.0,Cosine,0.562956
OverlappingObjects,0409,SI,15.1-25.0,Pearson,0.650085
OverlappingObjects,0410,SI,15.1-25.0,Cosine,0.355791
OverlappingObjects,0410,SI,15.1-25.0,Pearson,0.745250
OverlappingObjects,0411,SI,15.1-25.0,Cosine,0.347881
OverlappingObjects,0411,SI,15.1-25.0,Pearson,0.752009
OverlappingObjects,0412,SI,15.1-25.0,Cosine,0.723263
OverlappingObjects,0412,SI,15.1-25.0,Pearson,0.587935
OverlappingObjects,0413,SI,15.1-25.0,Cosine,0.673315
OverlappingObjects,0413,SI,15.1-25.0,Pearson,0.607337
OverlappingObjects,0414,SI,15.1-25.0,Cosine,0.725730
OverlappingObjects,0414,SI,15.1-25.0,Pearson,0.586878
OverlappingObjects,0415,SI,15.1-25.0,Cosine,0.695049
OverlappingObjects,0415,SI,15.1-25.0,Pearson,0.599709
OverlappingObjects,0416,SI,15.1-25.0,Cosine,0.724820
OverlappingObjects,0416,SI,15.1-25.0,Pearson,0.589040
OverlappingObjects,0417,SI,15.1-25.0,Cosine,0.692095
OverlappingObjects,0417,SI,15.1-25.0,Pearson,0.601044
OverlappingObjects,0418,SI,15.1-25.0,Cosine,0.585193
OverlappingObjects,0418,SI,15.1-25.0,Pearson,0.647236
OverlappingObjects,0419,SI,15.1-25.0,Cosine,0.709164
OverlappingObjects,0419,SI,15.1-25.0,Pearson,0.595337
OverlappingObjects,0420,SI,15.1-25.0,Cosine,0.623793
OverlappingObjects,0420,SI,15.1-25.0,Pearson,0.627532
OverlappingObjects,0421,SI,15.1-25.0,Cosine,0.423369
