dataset,object,descriptor,category,distanceFunction,time,similarity
GoogleDataset,0007,RICI,0-100,Cosine,0.112133193,1.0
GoogleDataset,0007,RICI,0-100,Euclidian,0.063649247,1.0
GoogleDataset,0007,SI,0-100,Cosine,0.094631345,0.9988165680472969
GoogleDataset,0007,SI,0-100,Euclidian,0.059580753,0.9987935431550338
GoogleDataset,0008,3DSC,0-100,Cosine,2.108665653,1.0
GoogleDataset,0008,3DSC,0-100,Euclidian,1.153586635,1.0
GoogleDataset,0008,FPFH,0-100,Cosine,0.058066657,1.0
GoogleDataset,0008,FPFH,0-100,Euclidian,0.042827677,1.0
GoogleDataset,0008,QUICCI,0-100,Cosine,0.062308573,1.0
GoogleDataset,0008,QUICCI,0-100,Euclidian,0.043736274,1.0
GoogleDataset,0008,RICI,0-100,Cosine,1.169954538,1.0
GoogleDataset,0008,RICI,0-100,Euclidian,0.662580173,1.0
GoogleDataset,0008,SI,0-100,Cosine,1.011790046,0.9994271967006509
GoogleDataset,0008,SI,0-100,Euclidian,0.63495031,0.999327754331216
GoogleDataset,0009,3DSC,0-100,Cosine,1.530818064,0.22120183155836806
GoogleDataset,0009,3DSC,0-100,Euclidian,0.850707149,1.0
GoogleDataset,0009,FPFH,0-100,Cosine,0.04251129,1.0
GoogleDataset,0009,FPFH,0-100,Euclidian,0.031341267,1.0
GoogleDataset,0009,QUICCI,0-100,Cosine,0.045745505,1.0
GoogleDataset,0009,QUICCI,0-100,Euclidian,0.031850966,1.0
GoogleDataset,0009,RICI,0-100,Cosine,0.865683673,1.0
GoogleDataset,0009,RICI,0-100,Euclidian,0.486991246,1.0
GoogleDataset,0009,SI,0-100,Cosine,0.748320806,0.9999999999999989
GoogleDataset,0009,SI,0-100,Euclidian,0.465359283,0.9996392885543507
GoogleDataset,0010,3DSC,0-100,Cosine,1.387030936,0.0
GoogleDataset,0010,3DSC,0-100,Euclidian,0.770001581,1.0
GoogleDataset,0010,FPFH,0-100,Cosine,0.038254028,1.0
GoogleDataset,0010,FPFH,0-100,Euclidian,0.027996393,1.0
GoogleDataset,0010,QUICCI,0-100,Cosine,0.04205426,1.0
GoogleDataset,0010,QUICCI,0-100,Euclidian,0.029285945,1.0
GoogleDataset,0010,RICI,0-100,Cosine,0.777973207,1.0
GoogleDataset,0010,RICI,0-100,Euclidian,0.443335488,1.0
GoogleDataset,0010,SI,0-100,Cosine,0.677600993,0.9999999999999981
GoogleDataset,0010,SI,0-100,Euclidian,0.419667243,0.9998260579640653
GoogleDataset,0011,3DSC,0-100,Cosine,1.323096286,0.0
GoogleDataset,0011,3DSC,0-100,Euclidian,0.735658011,1.0
GoogleDataset,0011,FPFH,0-100,Cosine,0.037042987,1.0
GoogleDataset,0011,FPFH,0-100,Euclidian,0.026921589,1.0
GoogleDataset,0011,QUICCI,0-100,Cosine,0.039449718,1.0
GoogleDataset,0011,QUICCI,0-100,Euclidian,0.027282403,1.0
GoogleDataset,0011,RICI,0-100,Cosine,0.740322001,1.0
GoogleDataset,0011,RICI,0-100,Euclidian,0.420017406,1.0
GoogleDataset,0011,SI,0-100,Cosine,0.641593134,0.9999999999999972
GoogleDataset,0011,SI,0-100,Euclidian,0.399808273,0.9997278531805767
GoogleDataset,0012,3DSC,0-100,Cosine,4.949115731,0.5757394657997068
GoogleDataset,0012,3DSC,0-100,Euclidian,2.751252259,1.0
GoogleDataset,0012,FPFH,0-100,Cosine,0.138216895,1.0
GoogleDataset,0012,FPFH,0-100,Euclidian,0.101180034,1.0
GoogleDataset,0012,QUICCI,0-100,Cosine,0.151739115,0.9999043794224517
GoogleDataset,0012,QUICCI,0-100,Euclidian,0.105164748,1.0
GoogleDataset,0012,RICI,0-100,Cosine,2.830927317,0.9999043794224517
GoogleDataset,0012,RICI,0-100,Euclidian,1.5949993,1.0
GoogleDataset,0012,SI,0-100,Cosine,2.456567086,0.9999043794224516
GoogleDataset,0012,SI,0-100,Euclidian,1.535897686,0.9998655987541033
GoogleDataset,0013,3DSC,0-100,Cosine,4.905606895,0.38926724681548747
GoogleDataset,0013,3DSC,0-100,Euclidian,2.736713761,1.0
GoogleDataset,0013,FPFH,0-100,Cosine,0.137667803,1.0
GoogleDataset,0013,FPFH,0-100,Euclidian,0.102083185,1.0
GoogleDataset,0013,QUICCI,0-100,Cosine,0.146809357,1.0
GoogleDataset,0013,QUICCI,0-100,Euclidian,0.10344779,1.0
GoogleDataset,0013,RICI,0-100,Cosine,2.784791863,1.0
GoogleDataset,0013,RICI,0-100,Euclidian,1.55501368,1.0
GoogleDataset,0013,SI,0-100,Cosine,2.402841105,0.9999999999999999
GoogleDataset,0013,SI,0-100,Euclidian,1.504216805,0.9999639706443877
GoogleDataset,0014,3DSC,0-100,Cosine,0.913566123,0.6125393494228751
GoogleDataset,0014,3DSC,0-100,Euclidian,0.511027369,1.0
GoogleDataset,0014,FPFH,0-100,Cosine,0.024626254,1.0
GoogleDataset,0014,FPFH,0-100,Euclidian,0.018192993,1.0
GoogleDataset,0014,QUICCI,0-100,Cosine,0.027394952,1.0
GoogleDataset,0014,QUICCI,0-100,Euclidian,0.01920572,1.0
GoogleDataset,0014,RICI,0-100,Cosine,0.514495804,1.0
GoogleDataset,0014,RICI,0-100,Euclidian,0.291159932,1.0
GoogleDataset,0014,SI,0-100,Cosine,0.439631961,0.9998688352570824
GoogleDataset,0014,SI,0-100,Euclidian,0.277785731,0.9998946479353396
GoogleDataset,0015,3DSC,0-100,Cosine,0.893372519,0.0
GoogleDataset,0015,3DSC,0-100,Euclidian,0.497910675,1.0
GoogleDataset,0015,FPFH,0-100,Cosine,0.025105228,1.0
GoogleDataset,0015,FPFH,0-100,Euclidian,0.018489173,1.0
GoogleDataset,0015,QUICCI,0-100,Cosine,0.026597185,1.0
GoogleDataset,0015,QUICCI,0-100,Euclidian,0.018393286,1.0
GoogleDataset,0015,RICI,0-100,Cosine,0.497859032,1.0
GoogleDataset,0015,RICI,0-100,Euclidian,0.285051633,1.0
GoogleDataset,0015,SI,0-100,Cosine,0.437457965,0.999734113267687
GoogleDataset,0015,SI,0-100,Euclidian,0.27176532,0.9970055327199681
GoogleDataset,0016,3DSC,0-100,Cosine,1.055307608,0.0
GoogleDataset,0016,3DSC,0-100,Euclidian,0.588690463,1.0
GoogleDataset,0016,FPFH,0-100,Cosine,0.029864718,1.0
GoogleDataset,0016,FPFH,0-100,Euclidian,0.022077714,1.0
GoogleDataset,0016,QUICCI,0-100,Cosine,0.03195394,1.0
GoogleDataset,0016,QUICCI,0-100,Euclidian,0.02265016,1.0
GoogleDataset,0016,RICI,0-100,Cosine,0.59430293,1.0
GoogleDataset,0016,RICI,0-100,Euclidian,0.334149136,1.0
GoogleDataset,0016,SI,0-100,Cosine,0.513365966,0.9998890122086348
GoogleDataset,0016,SI,0-100,Euclidian,0.319723773,0.9984431172640651
GoogleDataset,0017,3DSC,0-100,Cosine,2.050135485,0.3145523543990087
GoogleDataset,0017,3DSC,0-100,Euclidian,1.143216721,1.0
GoogleDataset,0017,FPFH,0-100,Cosine,0.0575868,1.0
GoogleDataset,0017,FPFH,0-100,Euclidian,0.042398193,1.0
GoogleDataset,0017,QUICCI,0-100,Cosine,0.061740093,0.9998838289962825
GoogleDataset,0017,QUICCI,0-100,Euclidian,0.043022201,1.0
GoogleDataset,0017,RICI,0-100,Cosine,1.151584179,0.9998838289962825
GoogleDataset,0017,RICI,0-100,Euclidian,0.65309959,1.0
GoogleDataset,0017,SI,0-100,Cosine,0.996237895,0.9998838289962821
GoogleDataset,0017,SI,0-100,Euclidian,0.624444292,0.9997860153991378
GoogleDataset,0018,3DSC,0-100,Cosine,1.084900347,0.0
GoogleDataset,0018,3DSC,0-100,Euclidian,0.604068766,1.0
GoogleDataset,0018,FPFH,0-100,Cosine,0.030360762,1.0
GoogleDataset,0018,FPFH,0-100,Euclidian,0.022200637,1.0
GoogleDataset,0018,QUICCI,0-100,Cosine,0.033285006,0.9998917983120537
GoogleDataset,0018,QUICCI,0-100,Euclidian,0.022561602,1.0
GoogleDataset,0018,RICI,0-100,Cosine,0.604336784,0.9998917983120537
GoogleDataset,0018,RICI,0-100,Euclidian,0.342257279,1.0
GoogleDataset,0018,SI,0-100,Cosine,0.528539369,0.9999999999999983
