dataset,object,descriptor,category,distanceFunction,similarity,time
OverlappingObjects,0182,SI,15.1-25.0,Pearson,0.477824,0.000203
OverlappingObjects,0183,SI,15.1-25.0,Cosine,0.675676,0.001924
OverlappingObjects,0183,SI,15.1-25.0,Pearson,0.674051,0.000525
OverlappingObjects,0184,SI,15.1-25.0,Cosine,0.410320,0.000346
OverlappingObjects,0184,SI,15.1-25.0,Pearson,0.405444,0.000209
OverlappingObjects,0185,SI,15.1-25.0,Cosine,0.598426,0.000310
OverlappingObjects,0185,SI,15.1-25.0,Pearson,0.595529,0.000193
OverlappingObjects,0186,SI,15.1-25.0,Cosine,0.558612,0.000513
OverlappingObjects,0186,SI,15.1-25.0,Pearson,0.555827,0.000229
OverlappingObjects,0187,SI,15.1-25.0,Cosine,0.658990,0.000354
OverlappingObjects,0187,SI,15.1-25.0,Pearson,0.657282,0.000176
OverlappingObjects,0188,SI,15.1-25.0,Cosine,0.392928,0.000498
OverlappingObjects,0188,SI,15.1-25.0,Pearson,0.388947,0.000214
OverlappingObjects,0189,SI,15.1-25.0,Cosine,0.682558,0.000468
OverlappingObjects,0189,SI,15.1-25.0,Pearson,0.681037,0.000212
OverlappingObjects,0190,SI,15.1-25.0,Cosine,0.660929,0.000482
OverlappingObjects,0190,SI,15.1-25.0,Pearson,0.659214,0.000231
OverlappingObjects,0191,SI,15.1-25.0,Cosine,0.646197,0.000443
OverlappingObjects,0191,SI,15.1-25.0,Pearson,0.644611,0.000219
OverlappingObjects,0192,SI,15.1-25.0,Cosine,0.501811,0.001281
OverlappingObjects,0192,SI,15.1-25.0,Pearson,0.496086,0.000337
OverlappingObjects,0193,SI,15.1-25.0,Cosine,0.519118,0.000317
OverlappingObjects,0193,SI,15.1-25.0,Pearson,0.515045,0.000178
OverlappingObjects,0194,SI,15.1-25.0,Cosine,0.393355,0.000761
OverlappingObjects,0194,SI,15.1-25.0,Pearson,0.390030,0.000275
OverlappingObjects,0195,SI,15.1-25.0,Cosine,0.329695,0.000292
OverlappingObjects,0195,SI,15.1-25.0,Pearson,0.323525,0.000167
OverlappingObjects,0196,SI,15.1-25.0,Cosine,0.463215,0.000295
OverlappingObjects,0196,SI,15.1-25.0,Pearson,0.458721,0.000189
OverlappingObjects,0197,SI,15.1-25.0,Cosine,0.558044,0.000760
OverlappingObjects,0197,SI,15.1-25.0,Pearson,0.555385,0.000310
OverlappingObjects,0198,SI,15.1-25.0,Cosine,0.557320,0.000675
OverlappingObjects,0198,SI,15.1-25.0,Pearson,0.555284,0.000268
OverlappingObjects,0199,SI,15.1-25.0,Cosine,0.655264,0.001806
OverlappingObjects,0199,SI,15.1-25.0,Pearson,0.653075,0.000550
OverlappingObjects,0200,SI,15.1-25.0,Cosine,0.741497,0.002077
OverlappingObjects,0200,SI,15.1-25.0,Pearson,0.738849,0.000596
OverlappingObjects,0201,SI,15.1-25.0,Cosine,0.681484,0.001593
OverlappingObjects,0201,SI,15.1-25.0,Pearson,0.678668,0.000500
OverlappingObjects,0202,SI,15.1-25.0,Cosine,0.634751,0.001444
OverlappingObjects,0202,SI,15.1-25.0,Pearson,0.631205,0.000422
OverlappingObjects,0203,SI,15.1-25.0,Cosine,0.539358,0.001089
OverlappingObjects,0203,SI,15.1-25.0,Pearson,0.535025,0.000340
OverlappingObjects,0204,SI,15.1-25.0,Cosine,0.698458,0.001963
OverlappingObjects,0204,SI,15.1-25.0,Pearson,0.695943,0.000593
OverlappingObjects,0205,SI,15.1-25.0,Cosine,0.711093,0.002610
OverlappingObjects,0205,SI,15.1-25.0,Pearson,0.707812,0.000687
OverlappingObjects,0206,SI,15.1-25.0,Cosine,0.748474,0.001459
OverlappingObjects,0206,SI,15.1-25.0,Pearson,0.746354,0.000449
OverlappingObjects,0207,SI,15.1-25.0,Cosine,0.475300,0.002150
OverlappingObjects,0207,SI,15.1-25.0,Pearson,0.468599,0.000538
OverlappingObjects,0208,SI,15.1-25.0,Cosine,0.538735,0.001174
OverlappingObjects,0208,SI,15.1-25.0,Pearson,0.534120,0.000405
OverlappingObjects,0209,SI,15.1-25.0,Cosine,0.727565,0.002324
OverlappingObjects,0209,SI,15.1-25.0,Pearson,0.725286,0.000732
OverlappingObjects,0210,SI,15.1-25.0,Cosine,0.661236,0.002009
OverlappingObjects,0210,SI,15.1-25.0,Pearson,0.657715,0.000511
OverlappingObjects,0211,SI,15.1-25.0,Cosine,0.501229,0.000437
OverlappingObjects,0211,SI,15.1-25.0,Pearson,0.498685,0.000200
OverlappingObjects,0212,SI,15.1-25.0,Cosine,0.712231,0.000630
OverlappingObjects,0212,SI,15.1-25.0,Pearson,0.711203,0.000287
OverlappingObjects,0213,SI,15.1-25.0,Cosine,0.678118,0.001444
OverlappingObjects,0213,SI,15.1-25.0,Pearson,0.675228,0.000448
OverlappingObjects,0214,SI,15.1-25.0,Cosine,0.639889,0.001394
OverlappingObjects,0214,SI,15.1-25.0,Pearson,0.636682,0.000413
OverlappingObjects,0215,SI,15.1-25.0,Cosine,0.729751,0.001276
OverlappingObjects,0215,SI,15.1-25.0,Pearson,0.727794,0.000425
OverlappingObjects,0216,SI,15.1-25.0,Cosine,0.256226,0.001121
OverlappingObjects,0216,SI,15.1-25.0,Pearson,0.250803,0.000342
OverlappingObjects,0217,SI,15.1-25.0,Cosine,0.507522,0.000295
OverlappingObjects,0217,SI,15.1-25.0,Pearson,0.502960,0.000165
OverlappingObjects,0218,SI,15.1-25.0,Cosine,0.508588,0.000999
OverlappingObjects,0218,SI,15.1-25.0,Pearson,0.504004,0.000324
OverlappingObjects,0219,SI,15.1-25.0,Cosine,0.609943,0.000535
OverlappingObjects,0219,SI,15.1-25.0,Pearson,0.608187,0.000240
OverlappingObjects,0220,SI,15.1-25.0,Cosine,0.582850,0.000336
OverlappingObjects,0220,SI,15.1-25.0,Pearson,0.580379,0.000176
OverlappingObjects,0221,SI,15.1-25.0,Cosine,0.268861,0.001219
OverlappingObjects,0221,SI,15.1-25.0,Pearson,0.254354,0.000260
OverlappingObjects,0222,SI,15.1-25.0,Cosine,0.637970,0.000413
OverlappingObjects,0222,SI,15.1-25.0,Pearson,0.636248,0.000206
OverlappingObjects,0223,SI,15.1-25.0,Cosine,0.752024,0.000484
OverlappingObjects,0223,SI,15.1-25.0,Pearson,0.750818,0.000223
OverlappingObjects,0224,SI,15.1-25.0,Cosine,0.724119,0.001426
OverlappingObjects,0224,SI,15.1-25.0,Pearson,0.722484,0.000460
OverlappingObjects,0225,SI,15.1-25.0,Cosine,0.739540,0.001608
OverlappingObjects,0225,SI,15.1-25.0,Pearson,0.737301,0.000482
OverlappingObjects,0226,SI,15.1-25.0,Cosine,0.741476,0.003944
OverlappingObjects,0226,SI,15.1-25.0,Pearson,0.738661,0.000959
OverlappingObjects,0227,SI,15.1-25.0,Cosine,0.608932,0.000856
OverlappingObjects,0227,SI,15.1-25.0,Pearson,0.603830,0.000262
OverlappingObjects,0228,SI,15.1-25.0,Cosine,0.478720,0.000368
OverlappingObjects,0228,SI,15.1-25.0,Pearson,0.474672,0.000193
OverlappingObjects,0229,SI,15.1-25.0,Cosine,0.569428,0.000856
OverlappingObjects,0229,SI,15.1-25.0,Pearson,0.566156,0.000296
OverlappingObjects,0230,SI,15.1-25.0,Cosine,0.417815,0.000834
OverlappingObjects,0230,SI,15.1-25.0,Pearson,0.412249,0.000276
OverlappingObjects,0231,SI,15.1-25.0,Cosine,0.576335,0.000946
OverlappingObjects,0231,SI,15.1-25.0,Pearson,0.574569,0.000342
OverlappingObjects,0232,SI,15.1-25.0,Cosine,0.571553,0.001605
OverlappingObjects,0232,SI,15.1-25.0,Pearson,0.566925,0.000442
OverlappingObjects,0233,SI,15.1-25.0,Cosine,0.623566,0.002900
OverlappingObjects,0233,SI,15.1-25.0,Pearson,0.618890,0.000671
OverlappingObjects,0234,SI,15.1-25.0,Cosine,0.550659,0.001424
OverlappingObjects,0234,SI,15.1-25.0,Pearson,0.544652,0.000393
OverlappingObjects,0235,SI,15.1-25.0,Cosine,0.466127,0.000283
OverlappingObjects,0235,SI,15.1-25.0,Pearson,0.461664,0.000170
OverlappingObjects,0236,SI,15.1-25.0,Cosine,0.743749,0.000485
OverlappingObjects,0236,SI,15.1-25.0,Pearson,0.742976,0.000263
OverlappingObjects,0237,SI,15.1-25.0,Cosine,0.711436,0.002331
OverlappingObjects,0237,SI,15.1-25.0,Pearson,0.708922,0.000656
OverlappingObjects,0238,SI,15.1-25.0,Cosine,0.679098,0.001212
OverlappingObjects,0238,SI,15.1-25.0,Pearson,0.676526,0.000394
OverlappingObjects,0239,SI,15.1-25.0,Cosine,0.739681,0.001250
OverlappingObjects,0239,SI,15.1-25.0,Pearson,0.737674,0.000448
OverlappingObjects,0240,SI,15.1-25.0,Cosine,0.629744,0.001343
OverlappingObjects,0240,SI,15.1-25.0,Pearson,0.626240,0.000445
OverlappingObjects,0241,SI,15.1-25.0,Cosine,0.453133,0.000402
OverlappingObjects,0241,SI,15.1-25.0,Pearson,0.448847,0.000209
OverlappingObjects,0242,SI,15.1-25.0,Cosine,0.491761,0.000540
OverlappingObjects,0242,SI,15.1-25.0,Pearson,0.488618,0.000234
OverlappingObjects,0243,SI,15.1-25.0,Cosine,0.615458,0.000485
OverlappingObjects,0243,SI,15.1-25.0,Pearson,0.612842,0.000219
OverlappingObjects,0244,SI,15.1-25.0,Cosine,0.403134,0.000526
OverlappingObjects,0244,SI,15.1-25.0,Pearson,0.396114,0.000205
OverlappingObjects,0245,SI,15.1-25.0,Cosine,0.659913,0.001838
OverlappingObjects,0245,SI,15.1-25.0,Pearson,0.658013,0.000592
OverlappingObjects,0246,SI,15.1-25.0,Cosine,0.655968,0.001325
OverlappingObjects,0246,SI,15.1-25.0,Pearson,0.653318,0.000427
OverlappingObjects,0247,SI,15.1-25.0,Cosine,0.619540,0.001278
OverlappingObjects,0247,SI,15.1-25.0,Pearson,0.616788,0.000425
OverlappingObjects,0248,SI,15.1-25.0,Cosine,0.648563,0.001009
OverlappingObjects,0248,SI,15.1-25.0,Pearson,0.645990,0.000343
OverlappingObjects,0249,SI,15.1-25.0,Cosine,0.492215,0.000609
OverlappingObjects,0249,SI,15.1-25.0,Pearson,0.485412,0.000221
OverlappingObjects,0250,SI,15.1-25.0,Cosine,0.572883,0.000471
OverlappingObjects,0250,SI,15.1-25.0,Pearson,0.569448,0.000233
OverlappingObjects,0251,SI,15.1-25.0,Cosine,0.632866,0.003877
OverlappingObjects,0251,SI,15.1-25.0,Pearson,0.628174,0.000844
OverlappingObjects,0252,SI,15.1-25.0,Cosine,0.506807,0.001365
OverlappingObjects,0252,SI,15.1-25.0,Pearson,0.503676,0.000461
OverlappingObjects,0253,SI,15.1-25.0,Cosine,0.733664,0.004366
OverlappingObjects,0253,SI,15.1-25.0,Pearson,0.730931,0.001064
OverlappingObjects,0254,SI,15.1-25.0,Cosine,0.601482,0.001273
OverlappingObjects,0254,SI,15.1-25.0,Pearson,0.598519,0.000410
OverlappingObjects,0255,SI,15.1-25.0,Cosine,0.642327,0.000853
OverlappingObjects,0255,SI,15.1-25.0,Pearson,0.638067,0.000268
OverlappingObjects,0256,SI,15.1-25.0,Cosine,0.576933,0.000622
OverlappingObjects,0256,SI,15.1-25.0,Pearson,0.574437,0.000264
OverlappingObjects,0257,SI,15.1-25.0,Cosine,0.427782,0.000482
OverlappingObjects,0257,SI,15.1-25.0,Pearson,0.423492,0.000214
OverlappingObjects,0258,SI,15.1-25.0,Cosine,0.629404,0.000442
OverlappingObjects,0258,SI,15.1-25.0,Pearson,0.627857,0.000211
OverlappingObjects,0259,SI,15.1-25.0,Cosine,0.573116,0.000525
OverlappingObjects,0259,SI,15.1-25.0,Pearson,0.570217,0.000255
OverlappingObjects,0260,SI,15.1-25.0,Cosine,0.570233,0.000891
OverlappingObjects,0260,SI,15.1-25.0,Pearson,0.566571,0.000271
OverlappingObjects,0261,SI,15.1-25.0,Cosine,0.541528,0.000485
OverlappingObjects,0261,SI,15.1-25.0,Pearson,0.537613,0.000220
OverlappingObjects,0262,SI,15.1-25.0,Cosine,0.591673,0.001830
OverlappingObjects,0262,SI,15.1-25.0,Pearson,0.587569,0.000451
OverlappingObjects,0263,SI,15.1-25.0,Cosine,0.585171,0.000613
OverlappingObjects,0263,SI,15.1-25.0,Pearson,0.581667,0.000243
OverlappingObjects,0264,SI,15.1-25.0,Cosine,0.553441,0.000788
OverlappingObjects,0264,SI,15.1-25.0,Pearson,0.550311,0.000286
OverlappingObjects,0265,SI,15.1-25.0,Cosine,0.670887,0.000588
OverlappingObjects,0265,SI,15.1-25.0,Pearson,0.668901,0.000247
OverlappingObjects,0266,SI,15.1-25.0,Cosine,0.738501,0.001016
OverlappingObjects,0266,SI,15.1-25.0,Pearson,0.736477,0.000353
OverlappingObjects,0267,SI,15.1-25.0,Cosine,0.602470,0.000587
OverlappingObjects,0267,SI,15.1-25.0,Pearson,0.599340,0.000216
OverlappingObjects,0268,SI,15.1-25.0,Cosine,0.677036,0.000967
OverlappingObjects,0268,SI,15.1-25.0,Pearson,0.675449,0.000344
OverlappingObjects,0269,SI,15.1-25.0,Cosine,0.588735,0.001359
OverlappingObjects,0269,SI,15.1-25.0,Pearson,0.583902,0.000381
OverlappingObjects,0270,SI,15.1-25.0,Cosine,0.605777,0.000799
OverlappingObjects,0270,SI,15.1-25.0,Pearson,0.601527,0.000291
OverlappingObjects,0271,SI,15.1-25.0,Cosine,0.674355,0.001123
OverlappingObjects,0271,SI,15.1-25.0,Pearson,0.672101,0.000369
OverlappingObjects,0272,SI,15.1-25.0,Cosine,0.672826,0.001428
OverlappingObjects,0272,SI,15.1-25.0,Pearson,0.670299,0.000422
OverlappingObjects,0273,SI,15.1-25.0,Cosine,0.565464,0.000605
OverlappingObjects,0273,SI,15.1-25.0,Pearson,0.562389,0.000246
OverlappingObjects,0274,SI,15.1-25.0,Cosine,0.590093,0.000494
OverlappingObjects,0274,SI,15.1-25.0,Pearson,0.588231,0.000225
OverlappingObjects,0275,SI,15.1-25.0,Cosine,0.680773,0.000619
OverlappingObjects,0275,SI,15.1-25.0,Pearson,0.679006,0.000252
OverlappingObjects,0276,SI,15.1-25.0,Cosine,0.513469,0.000513
OverlappingObjects,0276,SI,15.1-25.0,Pearson,0.507670,0.000235
OverlappingObjects,0277,SI,15.1-25.0,Cosine,0.576789,0.000735
OverlappingObjects,0277,SI,15.1-25.0,Pearson,0.574791,0.000341
OverlappingObjects,0278,SI,15.1-25.0,Cosine,0.503831,0.000318
OverlappingObjects,0278,SI,15.1-25.0,Pearson,0.498808,0.000195
OverlappingObjects,0279,SI,15.1-25.0,Cosine,0.639580,0.001285
OverlappingObjects,0279,SI,15.1-25.0,Pearson,0.636148,0.000419
OverlappingObjects,0280,SI,15.1-25.0,Cosine,0.559195,0.001498
OverlappingObjects,0280,SI,15.1-25.0,Pearson,0.556251,0.000501
OverlappingObjects,0281,SI,15.1-25.0,Cosine,0.563888,0.000689
OverlappingObjects,0281,SI,15.1-25.0,Pearson,0.557481,0.000239
OverlappingObjects,0282,SI,15.1-25.0,Cosine,0.433404,0.000577
OverlappingObjects,0282,SI,15.1-25.0,Pearson,0.428772,0.000284
OverlappingObjects,0283,SI,15.1-25.0,Cosine,0.634560,0.000867
OverlappingObjects,0283,SI,15.1-25.0,Pearson,0.632069,0.000298
OverlappingObjects,0284,SI,15.1-25.0,Cosine,0.380795,0.000601
OverlappingObjects,0284,SI,15.1-25.0,Pearson,0.376975,0.000249
OverlappingObjects,0285,SI,15.1-25.0,Cosine,0.598627,0.000743
OverlappingObjects,0285,SI,15.1-25.0,Pearson,0.595715,0.000277
OverlappingObjects,0286,SI,15.1-25.0,Cosine,0.527108,0.000723
OverlappingObjects,0286,SI,15.1-25.0,Pearson,0.522710,0.000289
OverlappingObjects,0287,SI,15.1-25.0,Cosine,0.617467,0.000415
OverlappingObjects,0287,SI,15.1-25.0,Pearson,0.615902,0.000213
OverlappingObjects,0288,SI,15.1-25.0,Cosine,0.704737,0.000783
OverlappingObjects,0288,SI,15.1-25.0,Pearson,0.702332,0.000285
OverlappingObjects,0289,SI,15.1-25.0,Cosine,0.515529,0.001048
OverlappingObjects,0289,SI,15.1-25.0,Pearson,0.511201,0.000332
OverlappingObjects,0290,SI,15.1-25.0,Cosine,0.260079,0.000652
OverlappingObjects,0290,SI,15.1-25.0,Pearson,0.249002,0.000210
OverlappingObjects,0291,SI,15.1-25.0,Cosine,0.708042,0.000811
OverlappingObjects,0291,SI,15.1-25.0,Pearson,0.706295,0.000321
OverlappingObjects,0292,SI,15.1-25.0,Cosine,0.396665,0.000990
OverlappingObjects,0292,SI,15.1-25.0,Pearson,0.386279,0.000289
OverlappingObjects,0293,SI,15.1-25.0,Cosine,0.194511,0.001392
OverlappingObjects,0293,SI,15.1-25.0,Pearson,0.184993,0.000417
OverlappingObjects,0294,SI,15.1-25.0,Cosine,0.196670,0.001205
OverlappingObjects,0294,SI,15.1-25.0,Pearson,0.185105,0.000317
OverlappingObjects,0295,SI,15.1-25.0,Cosine,0.671498,0.002360
OverlappingObjects,0295,SI,15.1-25.0,Pearson,0.669140,0.000671
OverlappingObjects,0296,SI,15.1-25.0,Cosine,0.571782,0.001345
OverlappingObjects,0296,SI,15.1-25.0,Pearson,0.567304,0.000407
OverlappingObjects,0297,SI,15.1-25.0,Cosine,0.662750,0.000628
OverlappingObjects,0297,SI,15.1-25.0,Pearson,0.661467,0.000285
OverlappingObjects,0298,SI,15.1-25.0,Cosine,0.518160,0.000602
OverlappingObjects,0298,SI,15.1-25.0,Pearson,0.514966,0.000273
OverlappingObjects,0299,SI,15.1-25.0,Cosine,0.658246,0.001330
OverlappingObjects,0299,SI,15.1-25.0,Pearson,0.655356,0.000442
OverlappingObjects,0300,SI,15.1-25.0,Cosine,0.684634,0.001137
OverlappingObjects,0300,SI,15.1-25.0,Pearson,0.681234,0.000374
OverlappingObjects,0301,SI,15.1-25.0,Cosine,0.591712,0.001342
OverlappingObjects,0301,SI,15.1-25.0,Pearson,0.588221,0.000445
OverlappingObjects,0302,SI,15.1-25.0,Cosine,0.632192,0.000735
OverlappingObjects,0302,SI,15.1-25.0,Pearson,0.629223,0.000261
OverlappingObjects,0303,SI,15.1-25.0,Cosine,0.611307,0.000502
OverlappingObjects,0303,SI,15.1-25.0,Pearson,0.608987,0.000217
OverlappingObjects,0304,SI,15.1-25.0,Cosine,0.567387,0.000838
OverlappingObjects,0304,SI,15.1-25.0,Pearson,0.563191,0.000300
OverlappingObjects,0305,SI,15.1-25.0,Cosine,0.684517,0.001971
OverlappingObjects,0305,SI,15.1-25.0,Pearson,0.681350,0.000547
OverlappingObjects,0306,SI,15.1-25.0,Cosine,0.587144,0.001900
OverlappingObjects,0306,SI,15.1-25.0,Pearson,0.581800,0.000484
OverlappingObjects,0307,SI,15.1-25.0,Cosine,0.679471,0.000324
OverlappingObjects,0307,SI,15.1-25.0,Pearson,0.678365,0.000178
OverlappingObjects,0308,SI,15.1-25.0,Cosine,0.578719,0.001033
OverlappingObjects,0308,SI,15.1-25.0,Pearson,0.576914,0.000368
OverlappingObjects,0309,SI,15.1-25.0,Cosine,0.627642,0.000302
OverlappingObjects,0309,SI,15.1-25.0,Pearson,0.625863,0.000194
OverlappingObjects,0310,SI,15.1-25.0,Cosine,0.673793,0.000774
OverlappingObjects,0310,SI,15.1-25.0,Pearson,0.672746,0.000332
OverlappingObjects,0311,SI,15.1-25.0,Cosine,0.555398,0.000696
OverlappingObjects,0311,SI,15.1-25.0,Pearson,0.549782,0.000298
OverlappingObjects,0312,SI,15.1-25.0,Cosine,0.704222,0.006853
OverlappingObjects,0312,SI,15.1-25.0,Pearson,0.700412,0.001567
OverlappingObjects,0313,SI,15.1-25.0,Cosine,0.644970,0.001629
OverlappingObjects,0313,SI,15.1-25.0,Pearson,0.641366,0.000496
OverlappingObjects,0314,SI,15.1-25.0,Cosine,0.707461,0.001446
OverlappingObjects,0314,SI,15.1-25.0,Pearson,0.705330,0.000453
OverlappingObjects,0315,SI,15.1-25.0,Cosine,0.394782,0.002880
OverlappingObjects,0315,SI,15.1-25.0,Pearson,0.387031,0.000655
OverlappingObjects,0316,SI,15.1-25.0,Cosine,0.774564,0.004372
OverlappingObjects,0316,SI,15.1-25.0,Pearson,0.772075,0.001014
OverlappingObjects,0317,SI,15.1-25.0,Cosine,0.618475,0.001869
OverlappingObjects,0317,SI,15.1-25.0,Pearson,0.612605,0.000455
OverlappingObjects,0318,SI,15.1-25.0,Cosine,0.593611,0.000480
OverlappingObjects,0318,SI,15.1-25.0,Pearson,0.590730,0.000240
OverlappingObjects,0319,SI,15.1-25.0,Cosine,0.622558,0.001134
OverlappingObjects,0319,SI,15.1-25.0,Pearson,0.619983,0.000421
OverlappingObjects,0320,SI,15.1-25.0,Cosine,0.604090,0.001905
OverlappingObjects,0320,SI,15.1-25.0,Pearson,0.601417,0.000622
OverlappingObjects,0321,SI,15.1-25.0,Cosine,0.663599,0.003156
OverlappingObjects,0321,SI,15.1-25.0,Pearson,0.660118,0.000764
OverlappingObjects,0322,SI,15.1-25.0,Cosine,0.614076,0.000682
OverlappingObjects,0322,SI,15.1-25.0,Pearson,0.611171,0.000251
OverlappingObjects,0323,SI,15.1-25.0,Cosine,0.700779,0.000781
OverlappingObjects,0323,SI,15.1-25.0,Pearson,0.698906,0.000348
OverlappingObjects,0324,SI,15.1-25.0,Cosine,0.659688,0.001257
OverlappingObjects,0324,SI,15.1-25.0,Pearson,0.657602,0.000360
OverlappingObjects,0325,SI,15.1-25.0,Cosine,0.602648,0.000994
OverlappingObjects,0325,SI,15.1-25.0,Pearson,0.599707,0.000328
OverlappingObjects,0326,SI,15.1-25.0,Cosine,0.570613,0.000846
OverlappingObjects,0326,SI,15.1-25.0,Pearson,0.568313,0.000305
OverlappingObjects,0327,SI,15.1-25.0,Cosine,0.726951,0.000786
OverlappingObjects,0327,SI,15.1-25.0,Pearson,0.725535,0.000305
OverlappingObjects,0328,SI,15.1-25.0,Cosine,0.644495,0.002311
OverlappingObjects,0328,SI,15.1-25.0,Pearson,0.640291,0.000572
OverlappingObjects,0329,SI,15.1-25.0,Cosine,0.518210,0.000968
OverlappingObjects,0329,SI,15.1-25.0,Pearson,0.513766,0.000457
OverlappingObjects,0330,SI,15.1-25.0,Cosine,0.660313,0.003537
OverlappingObjects,0330,SI,15.1-25.0,Pearson,0.657816,0.000970
OverlappingObjects,0331,SI,15.1-25.0,Cosine,0.502360,0.001437
OverlappingObjects,0331,SI,15.1-25.0,Pearson,0.492940,0.000349
OverlappingObjects,0332,SI,15.1-25.0,Cosine,0.257229,0.002396
OverlappingObjects,0332,SI,15.1-25.0,Pearson,0.244705,0.000463
OverlappingObjects,0333,SI,15.1-25.0,Cosine,0.695392,0.001373
OverlappingObjects,0333,SI,15.1-25.0,Pearson,0.693132,0.000448
OverlappingObjects,0334,SI,15.1-25.0,Cosine,0.321434,0.001259
OverlappingObjects,0334,SI,15.1-25.0,Pearson,0.315868,0.000363
OverlappingObjects,0335,SI,15.1-25.0,Cosine,0.546098,0.000451
OverlappingObjects,0335,SI,15.1-25.0,Pearson,0.541574,0.000226
OverlappingObjects,0336,SI,15.1-25.0,Cosine,0.513370,0.000536
OverlappingObjects,0336,SI,15.1-25.0,Pearson,0.506813,0.000228
OverlappingObjects,0337,SI,15.1-25.0,Cosine,0.669607,0.001516
OverlappingObjects,0337,SI,15.1-25.0,Pearson,0.666755,0.000439
OverlappingObjects,0338,SI,15.1-25.0,Cosine,0.116437,0.001710
OverlappingObjects,0338,SI,15.1-25.0,Pearson,0.102133,0.000498
OverlappingObjects,0339,SI,15.1-25.0,Cosine,0.530034,0.000688
OverlappingObjects,0339,SI,15.1-25.0,Pearson,0.526566,0.000274
OverlappingObjects,0340,SI,15.1-25.0,Cosine,0.621941,0.000928
OverlappingObjects,0340,SI,15.1-25.0,Pearson,0.619101,0.000316
OverlappingObjects,0341,SI,15.1-25.0,Cosine,0.493511,0.001285
OverlappingObjects,0341,SI,15.1-25.0,Pearson,0.489955,0.000411
OverlappingObjects,0342,SI,15.1-25.0,Cosine,0.732634,0.001888
OverlappingObjects,0342,SI,15.1-25.0,Pearson,0.730392,0.000585
OverlappingObjects,0343,SI,15.1-25.0,Cosine,0.588276,0.000542
OverlappingObjects,0343,SI,15.1-25.0,Pearson,0.585680,0.000253
OverlappingObjects,0344,SI,15.1-25.0,Cosine,0.497804,0.000816
OverlappingObjects,0344,SI,15.1-25.0,Pearson,0.492751,0.000287
OverlappingObjects,0345,SI,15.1-25.0,Cosine,0.736194,0.000887
OverlappingObjects,0345,SI,15.1-25.0,Pearson,0.733586,0.000287
OverlappingObjects,0346,SI,15.1-25.0,Cosine,0.594007,0.000592
OverlappingObjects,0346,SI,15.1-25.0,Pearson,0.592432,0.000282
OverlappingObjects,0347,SI,15.1-25.0,Cosine,0.689871,0.002788
OverlappingObjects,0347,SI,15.1-25.0,Pearson,0.686443,0.000696
OverlappingObjects,0348,SI,15.1-25.0,Cosine,0.739955,0.002120
OverlappingObjects,0348,SI,15.1-25.0,Pearson,0.737831,0.000658
OverlappingObjects,0349,SI,15.1-25.0,Cosine,0.645705,0.000308
OverlappingObjects,0349,SI,15.1-25.0,Pearson,0.643986,0.000174
OverlappingObjects,0350,SI,15.1-25.0,Cosine,0.525330,0.001260
OverlappingObjects,0350,SI,15.1-25.0,Pearson,0.521331,0.000362
OverlappingObjects,0351,SI,15.1-25.0,Cosine,0.519322,0.000790
OverlappingObjects,0351,SI,15.1-25.0,Pearson,0.514926,0.000290
OverlappingObjects,0352,SI,15.1-25.0,Cosine,0.593889,0.000277
OverlappingObjects,0352,SI,15.1-25.0,Pearson,0.590105,0.000198
OverlappingObjects,0353,SI,15.1-25.0,Cosine,0.424533,0.000396
OverlappingObjects,0353,SI,15.1-25.0,Pearson,0.417781,0.000188
OverlappingObjects,0354,SI,15.1-25.0,Cosine,0.595887,0.000855
OverlappingObjects,0354,SI,15.1-25.0,Pearson,0.593381,0.000300
OverlappingObjects,0355,SI,15.1-25.0,Cosine,0.656109,0.000644
OverlappingObjects,0355,SI,15.1-25.0,Pearson,0.653750,0.000268
OverlappingObjects,0356,SI,15.1-25.0,Cosine,0.610387,0.003452
OverlappingObjects,0356,SI,15.1-25.0,Pearson,0.604810,0.000802
OverlappingObjects,0357,SI,15.1-25.0,Cosine,0.682063,0.000512
OverlappingObjects,0357,SI,15.1-25.0,Pearson,0.680075,0.000243
OverlappingObjects,0358,SI,15.1-25.0,Cosine,0.587880,0.000509
OverlappingObjects,0358,SI,15.1-25.0,Pearson,0.585708,0.000219
OverlappingObjects,0359,SI,15.1-25.0,Cosine,0.687294,0.000577
OverlappingObjects,0359,SI,15.1-25.0,Pearson,0.685990,0.000273
OverlappingObjects,0360,SI,15.1-25.0,Cosine,0.118425,0.000499
OverlappingObjects,0360,SI,15.1-25.0,Pearson,0.101280,0.000176
OverlappingObjects,0361,SI,15.1-25.0,Cosine,0.588670,0.000507
OverlappingObjects,0361,SI,15.1-25.0,Pearson,0.586382,0.000252
OverlappingObjects,0362,SI,15.1-25.0,Cosine,0.535225,0.000438
OverlappingObjects,0362,SI,15.1-25.0,Pearson,0.532867,0.000209
OverlappingObjects,0363,SI,15.1-25.0,Cosine,0.649317,0.000907
OverlappingObjects,0363,SI,15.1-25.0,Pearson,0.646528,0.000327
OverlappingObjects,0364,SI,15.1-25.0,Cosine,0.541906,0.000284
OverlappingObjects,0364,SI,15.1-25.0,Pearson,0.538058,0.000192
OverlappingObjects,0365,SI,15.1-25.0,Cosine,0.593380,0.000607
OverlappingObjects,0365,SI,15.1-25.0,Pearson,0.591935,0.000266
