dataset,object,descriptor,category,distanceFunction,similarity,time
OverlappingObjects,0036,SI,15.1-25.0,Pearson,0.528036,0.000292
OverlappingObjects,0037,SI,15.1-25.0,Cosine,0.601370,0.000477
OverlappingObjects,0037,SI,15.1-25.0,Pearson,0.597883,0.000233
OverlappingObjects,0038,SI,15.1-25.0,Cosine,0.554923,0.000697
OverlappingObjects,0038,SI,15.1-25.0,Pearson,0.549784,0.000283
OverlappingObjects,0039,SI,15.1-25.0,Cosine,0.538915,0.001242
OverlappingObjects,0039,SI,15.1-25.0,Pearson,0.531317,0.000359
OverlappingObjects,0040,SI,15.1-25.0,Cosine,0.669543,0.001414
OverlappingObjects,0040,SI,15.1-25.0,Pearson,0.666240,0.000433
OverlappingObjects,0041,SI,15.1-25.0,Cosine,0.711140,0.001371
OverlappingObjects,0041,SI,15.1-25.0,Pearson,0.708546,0.000461
OverlappingObjects,0042,SI,15.1-25.0,Cosine,0.726109,0.002271
OverlappingObjects,0042,SI,15.1-25.0,Pearson,0.723468,0.000657
OverlappingObjects,0043,SI,15.1-25.0,Cosine,0.746188,0.001091
OverlappingObjects,0043,SI,15.1-25.0,Pearson,0.744321,0.000377
OverlappingObjects,0044,SI,15.1-25.0,Cosine,0.710152,0.001346
OverlappingObjects,0044,SI,15.1-25.0,Pearson,0.707718,0.000413
OverlappingObjects,0045,SI,15.1-25.0,Cosine,0.711284,0.001541
OverlappingObjects,0045,SI,15.1-25.0,Pearson,0.708424,0.000455
OverlappingObjects,0046,SI,15.1-25.0,Cosine,0.694416,0.001238
OverlappingObjects,0046,SI,15.1-25.0,Pearson,0.691722,0.000379
OverlappingObjects,0047,SI,15.1-25.0,Cosine,0.677576,0.001196
OverlappingObjects,0047,SI,15.1-25.0,Pearson,0.674811,0.000398
OverlappingObjects,0048,SI,15.1-25.0,Cosine,0.722044,0.001308
OverlappingObjects,0048,SI,15.1-25.0,Pearson,0.719599,0.000410
OverlappingObjects,0049,SI,15.1-25.0,Cosine,0.457115,0.001746
OverlappingObjects,0049,SI,15.1-25.0,Pearson,0.449856,0.000419
OverlappingObjects,0050,SI,15.1-25.0,Cosine,0.573640,0.000594
OverlappingObjects,0050,SI,15.1-25.0,Pearson,0.571994,0.000268
OverlappingObjects,0051,SI,15.1-25.0,Cosine,0.639764,0.000500
OverlappingObjects,0051,SI,15.1-25.0,Pearson,0.638026,0.000252
OverlappingObjects,0052,SI,15.1-25.0,Cosine,0.544468,0.001281
OverlappingObjects,0052,SI,15.1-25.0,Pearson,0.541685,0.000420
OverlappingObjects,0053,SI,15.1-25.0,Cosine,0.643462,0.001185
OverlappingObjects,0053,SI,15.1-25.0,Pearson,0.641318,0.000446
OverlappingObjects,0054,SI,15.1-25.0,Cosine,0.251924,0.000364
OverlappingObjects,0054,SI,15.1-25.0,Pearson,0.244285,0.000182
OverlappingObjects,0055,SI,15.1-25.0,Cosine,0.501743,0.000526
OverlappingObjects,0055,SI,15.1-25.0,Pearson,0.499157,0.000216
OverlappingObjects,0056,SI,15.1-25.0,Cosine,0.516251,0.000441
OverlappingObjects,0056,SI,15.1-25.0,Pearson,0.513732,0.000199
OverlappingObjects,0057,SI,15.1-25.0,Cosine,0.422051,0.000474
OverlappingObjects,0057,SI,15.1-25.0,Pearson,0.418937,0.000227
