dataset,object,descriptor,category,time
TwistedObjectsDataset,0008,SI,10,0.241136476
TwistedObjectsDataset,0009,3DSC,10,2.222465933
TwistedObjectsDataset,0009,FPFH,10,2.845676079
TwistedObjectsDataset,0009,QUICCI,10,0.076763186
TwistedObjectsDataset,0009,RICI,10,0.159433725
TwistedObjectsDataset,0009,SI,10,0.331601637
TwistedObjectsDataset,0010,3DSC,10,2.312939643
TwistedObjectsDataset,0010,FPFH,10,9.596263415
TwistedObjectsDataset,0010,QUICCI,10,0.268001226
TwistedObjectsDataset,0010,RICI,10,0.26413108
TwistedObjectsDataset,0010,SI,10,0.765058281
TwistedObjectsDataset,0011,3DSC,10,1.073388363
TwistedObjectsDataset,0011,FPFH,10,2.757494436
TwistedObjectsDataset,0011,QUICCI,10,0.012681326
TwistedObjectsDataset,0011,RICI,10,0.012412816
TwistedObjectsDataset,0011,SI,10,0.1010894
TwistedObjectsDataset,0012,3DSC,10,1.118048124
TwistedObjectsDataset,0012,FPFH,10,1.13945332
TwistedObjectsDataset,0012,QUICCI,10,0.012681356
TwistedObjectsDataset,0012,RICI,10,0.012398836
TwistedObjectsDataset,0012,SI,10,0.131978295
TwistedObjectsDataset,0013,3DSC,10,1.365265613
TwistedObjectsDataset,0013,FPFH,10,1.23991328
TwistedObjectsDataset,0013,QUICCI,10,0.013018726
TwistedObjectsDataset,0013,RICI,10,0.012674086
TwistedObjectsDataset,0013,SI,10,0.123852104
TwistedObjectsDataset,0014,3DSC,10,2.368681372
TwistedObjectsDataset,0014,FPFH,10,3.667657088
TwistedObjectsDataset,0014,QUICCI,10,0.034645212
TwistedObjectsDataset,0014,RICI,10,0.035260361
TwistedObjectsDataset,0014,SI,10,0.220541078
TwistedObjectsDataset,0015,3DSC,10,0.414086786
TwistedObjectsDataset,0015,FPFH,10,3.964579032
TwistedObjectsDataset,0015,QUICCI,10,0.004048295
TwistedObjectsDataset,0015,RICI,10,0.003910846
TwistedObjectsDataset,0015,SI,10,0.060289874
TwistedObjectsDataset,0016,3DSC,10,1.453870476
TwistedObjectsDataset,0016,FPFH,10,1.656815033
TwistedObjectsDataset,0016,QUICCI,10,0.010139029
TwistedObjectsDataset,0016,RICI,10,0.009861849
TwistedObjectsDataset,0016,SI,10,0.066014418
TwistedObjectsDataset,0017,3DSC,10,1.535495026
TwistedObjectsDataset,0017,FPFH,10,1.635260117
TwistedObjectsDataset,0017,QUICCI,10,0.002371248
TwistedObjectsDataset,0017,RICI,10,0.002126247
TwistedObjectsDataset,0017,SI,10,0.057843467
TwistedObjectsDataset,0018,3DSC,10,1.464515714
TwistedObjectsDataset,0018,FPFH,10,2.230633173
TwistedObjectsDataset,0018,QUICCI,10,0.010304659
TwistedObjectsDataset,0018,RICI,10,0.010177049
TwistedObjectsDataset,0018,SI,10,0.093684597
TwistedObjectsDataset,0019,3DSC,10,2.515969521
TwistedObjectsDataset,0019,FPFH,10,2.225994679
TwistedObjectsDataset,0019,QUICCI,10,0.111529198
TwistedObjectsDataset,0019,RICI,10,0.111303898
TwistedObjectsDataset,0019,SI,10,0.45608465
TwistedObjectsDataset,0020,3DSC,10,1.758580791
TwistedObjectsDataset,0020,FPFH,10,7.022490278
TwistedObjectsDataset,0020,QUICCI,10,0.055613199
TwistedObjectsDataset,0020,RICI,10,0.123313495
TwistedObjectsDataset,0020,SI,10,0.210381679
TwistedObjectsDataset,0021,3DSC,10,0.496568825
TwistedObjectsDataset,0021,FPFH,10,0.931457329
TwistedObjectsDataset,0021,QUICCI,10,0.00034633
TwistedObjectsDataset,0021,RICI,10,0.00038881
TwistedObjectsDataset,0021,SI,10,0.020211708
TwistedObjectsDataset,0022,3DSC,10,1.353134116
TwistedObjectsDataset,0022,FPFH,10,1.715979818
TwistedObjectsDataset,0022,QUICCI,10,0.011765477
TwistedObjectsDataset,0022,RICI,10,0.00910556
TwistedObjectsDataset,0022,SI,10,0.114726104
TwistedObjectsDataset,0023,3DSC,10,1.510301073
TwistedObjectsDataset,0023,FPFH,10,4.02987981
TwistedObjectsDataset,0023,QUICCI,10,0.056191089
TwistedObjectsDataset,0023,RICI,10,0.057341307
TwistedObjectsDataset,0023,SI,10,0.434781003
TwistedObjectsDataset,0024,3DSC,10,1.716276908
TwistedObjectsDataset,0024,FPFH,10,4.075075261
TwistedObjectsDataset,0024,QUICCI,10,0.022845795
TwistedObjectsDataset,0024,RICI,10,0.022333875
TwistedObjectsDataset,0024,SI,10,0.132427974
TwistedObjectsDataset,0025,3DSC,10,2.827456829
TwistedObjectsDataset,0025,FPFH,10,2.907303841
TwistedObjectsDataset,0025,QUICCI,10,0.065708228
TwistedObjectsDataset,0025,RICI,10,0.059828164
TwistedObjectsDataset,0025,SI,10,0.33703051
TwistedObjectsDataset,0026,3DSC,10,0.698923633
TwistedObjectsDataset,0026,FPFH,10,0.925436695
TwistedObjectsDataset,0026,QUICCI,10,0.009386929
TwistedObjectsDataset,0026,RICI,10,0.00933421
TwistedObjectsDataset,0026,SI,10,0.021576576
TwistedObjectsDataset,0027,3DSC,10,0.350206046
TwistedObjectsDataset,0027,FPFH,10,1.092717121
TwistedObjectsDataset,0027,QUICCI,10,0.000232069
TwistedObjectsDataset,0027,RICI,10,0.009348489
TwistedObjectsDataset,0027,SI,10,0.005715993
TwistedObjectsDataset,0028,3DSC,10,0.343739413
TwistedObjectsDataset,0028,FPFH,10,3.12790386
TwistedObjectsDataset,0028,QUICCI,10,0.000956598
TwistedObjectsDataset,0028,RICI,10,0.000925609
TwistedObjectsDataset,0028,SI,10,0.023370384
TwistedObjectsDataset,0029,3DSC,10,0.323245735
TwistedObjectsDataset,0029,FPFH,10,2.372367948
TwistedObjectsDataset,0029,QUICCI,10,0.002926297
TwistedObjectsDataset,0029,RICI,10,0.002800357
TwistedObjectsDataset,0029,SI,10,0.047749308
TwistedObjectsDataset,0030,3DSC,10,1.427621254
TwistedObjectsDataset,0030,FPFH,10,1.029784891
TwistedObjectsDataset,0030,QUICCI,10,0.01870883
TwistedObjectsDataset,0030,RICI,10,0.018629549
TwistedObjectsDataset,0030,SI,10,0.091778519
TwistedObjectsDataset,0031,3DSC,10,0.431655846
TwistedObjectsDataset,0031,FPFH,10,2.18855167
TwistedObjectsDataset,0031,QUICCI,10,0.001235169
TwistedObjectsDataset,0031,RICI,10,0.001144539
TwistedObjectsDataset,0031,SI,10,0.034639712
TwistedObjectsDataset,0032,3DSC,10,0.28240726
TwistedObjectsDataset,0032,FPFH,10,2.783372618
TwistedObjectsDataset,0032,QUICCI,10,0.003607836
TwistedObjectsDataset,0032,RICI,10,0.003350106
TwistedObjectsDataset,0032,SI,10,0.045148491
TwistedObjectsDataset,0033,3DSC,10,1.434023177
TwistedObjectsDataset,0033,FPFH,10,3.33749161
TwistedObjectsDataset,0033,QUICCI,10,0.003572476
TwistedObjectsDataset,0033,RICI,10,0.003324306
TwistedObjectsDataset,0033,SI,10,0.05535608
TwistedObjectsDataset,0034,3DSC,10,2.896385003
TwistedObjectsDataset,0034,FPFH,10,4.278532457
TwistedObjectsDataset,0034,QUICCI,10,0.033423624
TwistedObjectsDataset,0034,RICI,10,0.032032845
TwistedObjectsDataset,0034,SI,10,0.253821992
TwistedObjectsDataset,0035,3DSC,10,2.065733924
TwistedObjectsDataset,0035,FPFH,10,2.273672956
TwistedObjectsDataset,0035,QUICCI,10,0.01851601
TwistedObjectsDataset,0035,RICI,10,0.018440269
TwistedObjectsDataset,0035,SI,10,0.064937739
TwistedObjectsDataset,0036,3DSC,10,0.397773003
TwistedObjectsDataset,0036,FPFH,10,5.028173075
TwistedObjectsDataset,0036,QUICCI,10,0.004477005
TwistedObjectsDataset,0036,RICI,10,0.004240795
TwistedObjectsDataset,0036,SI,10,0.045116371
TwistedObjectsDataset,0037,3DSC,10,1.480852526
TwistedObjectsDataset,0037,FPFH,10,2.828519778
TwistedObjectsDataset,0037,QUICCI,10,0.010148709
TwistedObjectsDataset,0037,RICI,10,0.010003029
TwistedObjectsDataset,0037,SI,10,0.043755822
TwistedObjectsDataset,0038,3DSC,10,0.955482052
TwistedObjectsDataset,0038,FPFH,10,2.549025644
TwistedObjectsDataset,0038,QUICCI,10,0.026790341
TwistedObjectsDataset,0038,RICI,10,0.023837334
TwistedObjectsDataset,0038,SI,10,0.132511255
