dataset,object,descriptor,category,time
RandomVertexDisplacedObjectsDataset,0014,SI,0.0001,0.221448117
RandomVertexDisplacedObjectsDataset,0015,3DSC,0.0001,0.548843718
RandomVertexDisplacedObjectsDataset,0015,FPFH,0.0001,3.730281899
RandomVertexDisplacedObjectsDataset,0015,QUICCI,0.0001,0.013393995
RandomVertexDisplacedObjectsDataset,0015,RICI,0.0001,0.013118555
RandomVertexDisplacedObjectsDataset,0015,SI,0.0001,0.132018695
RandomVertexDisplacedObjectsDataset,0016,3DSC,0.0001,1.119892092
RandomVertexDisplacedObjectsDataset,0016,FPFH,0.0001,1.024210136
RandomVertexDisplacedObjectsDataset,0016,QUICCI,0.0001,0.018709219
RandomVertexDisplacedObjectsDataset,0016,RICI,0.0001,0.009778979
RandomVertexDisplacedObjectsDataset,0016,SI,0.0001,0.072613911
RandomVertexDisplacedObjectsDataset,0017,3DSC,0.0001,1.247481522
RandomVertexDisplacedObjectsDataset,0017,FPFH,0.0001,3.236198311
RandomVertexDisplacedObjectsDataset,0017,QUICCI,0.0001,0.012006747
RandomVertexDisplacedObjectsDataset,0017,RICI,0.0001,0.011710217
RandomVertexDisplacedObjectsDataset,0017,SI,0.0001,0.105781644
RandomVertexDisplacedObjectsDataset,0018,3DSC,0.0001,1.150718908
RandomVertexDisplacedObjectsDataset,0018,FPFH,0.0001,1.029120081
RandomVertexDisplacedObjectsDataset,0018,QUICCI,0.0001,0.010484408
RandomVertexDisplacedObjectsDataset,0018,RICI,0.0001,0.010295099
RandomVertexDisplacedObjectsDataset,0018,SI,0.0001,0.071310712
RandomVertexDisplacedObjectsDataset,0019,3DSC,0.0001,2.196816451
RandomVertexDisplacedObjectsDataset,0019,FPFH,0.0001,3.028152799
RandomVertexDisplacedObjectsDataset,0019,QUICCI,0.0001,0.105668064
RandomVertexDisplacedObjectsDataset,0019,RICI,0.0001,0.101622408
RandomVertexDisplacedObjectsDataset,0019,SI,0.0001,0.343007674
RandomVertexDisplacedObjectsDataset,0020,3DSC,0.0001,2.283870556
RandomVertexDisplacedObjectsDataset,0020,FPFH,0.0001,6.721201768
RandomVertexDisplacedObjectsDataset,0020,QUICCI,0.0001,0.1278003
RandomVertexDisplacedObjectsDataset,0020,RICI,0.0001,0.133167634
RandomVertexDisplacedObjectsDataset,0020,SI,0.0001,0.463570052
RandomVertexDisplacedObjectsDataset,0021,3DSC,0.0001,0.548445399
RandomVertexDisplacedObjectsDataset,0021,FPFH,0.0001,1.392407673
RandomVertexDisplacedObjectsDataset,0021,QUICCI,0.0001,0.00943287
RandomVertexDisplacedObjectsDataset,0021,RICI,0.0001,0.00992335
RandomVertexDisplacedObjectsDataset,0021,SI,0.0001,0.021716396
RandomVertexDisplacedObjectsDataset,0022,3DSC,0.0001,1.819287425
RandomVertexDisplacedObjectsDataset,0022,FPFH,0.0001,3.08202439
RandomVertexDisplacedObjectsDataset,0022,QUICCI,0.0001,0.018890929
RandomVertexDisplacedObjectsDataset,0022,RICI,0.0001,0.020717687
RandomVertexDisplacedObjectsDataset,0022,SI,0.0001,0.132736745
