dataset,object,descriptor,category,time
OverlappingObjects,0018,FPFH,15.1-25.0,1.348208661
OverlappingObjects,0018,QUICCI,15.1-25.0,0.005998684
OverlappingObjects,0018,RICI,15.1-25.0,0.005764803
OverlappingObjects,0018,SI,15.1-25.0,0.055457059
OverlappingObjects,0019,3DSC,15.1-25.0,0.700725532
OverlappingObjects,0019,FPFH,15.1-25.0,3.193791377
OverlappingObjects,0019,QUICCI,15.1-25.0,0.130584997
OverlappingObjects,0019,RICI,15.1-25.0,0.129157358
OverlappingObjects,0019,SI,15.1-25.0,0.246897299
OverlappingObjects,0020,3DSC,15.1-25.0,0.577855376
OverlappingObjects,0020,FPFH,15.1-25.0,2.213726932
OverlappingObjects,0020,QUICCI,15.1-25.0,0.042250564
OverlappingObjects,0020,RICI,15.1-25.0,0.041291325
OverlappingObjects,0020,SI,15.1-25.0,0.151530954
OverlappingObjects,0021,3DSC,15.1-25.0,0.284701467
OverlappingObjects,0021,FPFH,15.1-25.0,1.788813488
OverlappingObjects,0021,QUICCI,15.1-25.0,0.020443968
OverlappingObjects,0021,RICI,15.1-25.0,0.019470219
OverlappingObjects,0021,SI,15.1-25.0,0.072201971
OverlappingObjects,0022,3DSC,15.1-25.0,0.47437235
OverlappingObjects,0022,FPFH,15.1-25.0,1.572383875
OverlappingObjects,0022,QUICCI,15.1-25.0,0.013837475
OverlappingObjects,0022,RICI,15.1-25.0,0.013223825
OverlappingObjects,0022,SI,15.1-25.0,0.089103262
OverlappingObjects,0023,3DSC,15.1-25.0,0.342694794
OverlappingObjects,0023,FPFH,15.1-25.0,1.782003596
OverlappingObjects,0023,QUICCI,15.1-25.0,0.022296046
OverlappingObjects,0023,RICI,15.1-25.0,0.021266217
OverlappingObjects,0023,SI,15.1-25.0,0.135238071
OverlappingObjects,0024,3DSC,15.1-25.0,0.558259847
OverlappingObjects,0024,FPFH,15.1-25.0,1.888081259
OverlappingObjects,0024,QUICCI,15.1-25.0,0.028375909
OverlappingObjects,0024,RICI,15.1-25.0,0.027645119
OverlappingObjects,0024,SI,15.1-25.0,0.122061366
OverlappingObjects,0025,3DSC,15.1-25.0,0.444165112
OverlappingObjects,0025,FPFH,15.1-25.0,1.672978365
OverlappingObjects,0025,QUICCI,15.1-25.0,0.016354592
OverlappingObjects,0025,RICI,15.1-25.0,0.015726683
OverlappingObjects,0025,SI,15.1-25.0,0.086443805
OverlappingObjects,0026,3DSC,15.1-25.0,0.286524556
OverlappingObjects,0026,FPFH,15.1-25.0,1.024175917
